,ccp_alpha,max_depth,min_samples_leaf,min_samples_split,df1,df2,df3,df4,min_samples_split_tunability
146,0.0096112439578502,26,21,23,1.0,0.855058099794942,0.7262500000000001,0.7621364357482812,0.8358611338858057
147,0.0096112439578502,26,21,52,1.0,0.7947881066302118,0.695,0.7412215758857746,0.8077524206289965
148,0.0096112439578502,26,21,29,1.0,0.8667293233082708,0.69375,0.7493389740877843,0.8274545743490138
149,0.0096112439578502,26,21,7,1.0,0.8472658920027341,0.68875,0.7232152300370174,0.8148077805099379
150,0.0096112439578502,26,21,34,1.0,0.8576896787423104,0.7024999999999999,0.7329190904283448,0.8232771922926638
151,0.0096112439578502,26,21,3,1.0,0.8733937115516062,0.705,0.7376784769962982,0.8290180471369761
152,0.0096112439578502,26,21,40,1.0,0.8392173615857826,0.70375,0.7343469063987309,0.8193285669961283
153,0.0096112439578502,26,21,36,1.0,0.855023923444976,0.73125,0.7524854574299313,0.8346898452187268
154,0.0096112439578502,26,21,38,1.0,0.8745215311004785,0.68875,0.7409571655208884,0.8260571741553417
155,0.0096112439578502,26,21,47,1.0,0.8406698564593302,0.7225,0.7232152300370175,0.821596271624087
156,0.0096112439578502,26,21,42,1.0,0.8642173615857827,0.7100000000000002,0.7524590163934427,0.8316690944948063
157,0.0096112439578502,26,21,7,1.0,0.8406185919343814,0.7237499999999999,0.7754627181385509,0.8349578275182331
158,0.0096112439578502,26,21,58,1.0,0.8276999316473,0.72,0.7590692755156001,0.8266923017907251
159,0.0096112439578502,26,21,19,1.0,0.8393711551606288,0.69125,0.7606821787414066,0.8228258334755089
160,0.0096112439578502,26,21,57,1.0,0.7989234449760765,0.69875,0.7556319407720783,0.8133263464370386
161,0.0096112439578502,26,21,11,1.0,0.8615003417634997,0.675,0.729613960867266,0.8165285756576914
162,0.0096112439578502,26,21,48,1.0,0.8196343130553656,0.68875,0.7410893707033316,0.8123684209396743
163,0.0096112439578502,26,21,17,1.0,0.8721462747778539,0.69625,0.7589635113696457,0.8318399465368749
164,0.0096112439578502,26,21,9,1.0,0.8512645249487354,0.7162499999999999,0.7574828133262825,0.8312493345687544
165,0.0096112439578502,26,21,15,1.0,0.8564764183185236,0.705,0.7329455314648333,0.8236054874458393
166,0.0096112439578502,26,21,50,1.0,0.8421052631578947,0.71875,0.7181385510312004,0.8197484535472738
167,0.0096112439578502,26,21,34,1.0,0.8720437457279562,0.7112499999999999,0.7395029085140139,0.8306991635604926
168,0.0096112439578502,26,21,11,1.0,0.8498974709501026,0.675,0.7492860920148069,0.8185458907412274
169,0.0096112439578502,26,21,19,1.0,0.8434039644565962,0.7062499999999999,0.7571126388154416,0.8266916508180094
170,0.0096112439578502,26,21,57,1.0,0.8079801777170198,0.7037500000000001,0.7410893707033315,0.8132048871050879
171,0.0096112439578502,26,21,21,1.0,0.8368421052631578,0.685,0.7555526176626123,0.8193486807314425
172,0.0096112439578502,26,21,39,1.0,0.8590738209159261,0.6887500000000001,0.7521681649920677,0.8249979964769985
173,0.0096112439578502,26,21,58,1.0,0.8040328092959671,0.6874999999999999,0.7558963511369645,0.8118572901082328
174,0.0096112439578502,26,21,44,1.0,0.8210697197539304,0.6950000000000001,0.7395293495505024,0.8138997673261081
175,0.0096112439578502,26,21,46,1.0,0.8329630895420369,0.72875,0.7443680592279218,0.8265202871924897
176,0.0096112439578502,26,21,53,1.0,0.8225222146274778,0.7175,0.7101269169751454,0.8125372829006559
177,0.0096112439578502,26,21,23,1.0,0.8525461380724538,0.7024999999999999,0.7737176097303015,0.8321909369506888
178,0.0096112439578502,26,21,50,1.0,0.8366541353383459,0.7412500000000001,0.7135113696456902,0.822853876246009
179,0.0096112439578502,26,21,57,1.0,0.7938995215311005,0.7075000000000001,0.7654944473823374,0.8167234922283595
180,0.0096112439578502,26,21,60,1.0,0.7806903622693097,0.7,0.750634584875727,0.8078312367862592
181,0.0096112439578502,26,21,41,1.0,0.8251196172248804,0.6962499999999999,0.7342675832892649,0.8139093001285364
182,0.0096112439578502,26,21,53,1.0,0.8066814764183186,0.68375,0.7686938127974617,0.8147813223039451
183,0.0096112439578502,26,21,48,1.0,0.8132775119617225,0.7262499999999998,0.7149656266525648,0.8136232846535718
184,0.0096112439578502,26,21,34,1.0,0.8512645249487356,0.6975,0.74420941300899,0.8232434844894314
185,0.0096112439578502,26,21,35,1.0,0.8549555707450445,0.6987499999999999,0.7623215230037018,0.8290067734371865
186,0.0096112439578502,26,21,54,1.0,0.8017259056732742,0.6787500000000001,0.7490216816499207,0.8073743968307987
