mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l1_ratio,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,dataset_id,total_mean_auc
0.0013687610626220703,1.7410542926009005e-05,0.0017001628875732422,1.5049985925376575e-05,0.547146850630296,0.783,"{'l1_ratio': 0.547146850630296, 'alpha': 0.783}",0.5,0.5,0.5,0.5,0.0,84,1489,0.7511802219661641
0.0014394124348958333,5.520933288878888e-06,0.0018283526102701824,8.104673248279548e-07,0.009957504900931242,0.10200000000000001,"{'l1_ratio': 0.009957504900931242, 'alpha': 0.10200000000000001}",0.7950206597533183,0.8114187599206961,0.8168691860465117,0.8077695352401754,0.009285370424231254,37,1489,0.8401709093486254
0.0014525254567464192,6.051429055786602e-06,0.0018173853556315105,4.979594611428751e-06,0.024688790995728835,0.233,"{'l1_ratio': 0.024688790995728835, 'alpha': 0.233}",0.7951688911672605,0.8105633411360702,0.8174912790697676,0.8077411704576994,0.009329013378376452,39,1489,0.8400871306765724
0.0014363924662272136,5.947204250930057e-07,0.0018627643585205078,2.31065204120673e-05,0.001439716032510829,0.212,"{'l1_ratio': 0.001439716032510829, 'alpha': 0.212}",0.7948384586403474,0.8115330216356101,0.8174796511627908,0.8079503771462494,0.009584098144407261,15,1489,0.8403244935103003
0.001392682393391927,1.4795191451871878e-05,0.0018337567647298176,1.798265536464812e-06,0.752623373705427,0.182,"{'l1_ratio': 0.752623373705427, 'alpha': 0.182}",0.7081292577929578,0.6782235700300786,0.7381337209302326,0.7081621829177562,0.024458227767190963,80,1489,0.8151301665694388
0.0014376640319824219,4.936281888729583e-06,0.0018332799275716145,1.465751887435723e-05,0.0010394240063021079,0.34400000000000003,"{'l1_ratio': 0.0010394240063021079, 'alpha': 0.34400000000000003}",0.7947087561531477,0.8114897874732102,0.8179883720930232,0.8080623052397936,0.00980801901243112,5,1489,0.8403024541309845
0.0014317830403645833,7.158735926875143e-06,0.0018497308095296223,1.2986458632921772e-05,0.16379917548227751,0.417,"{'l1_ratio': 0.16379917548227751, 'alpha': 0.417}",0.792374111383555,0.7887300891241377,0.8034970930232558,0.7948670978436495,0.006281047532421287,70,1489,0.8368697433743397
0.001432975133260091,9.892376030893461e-06,0.0018230279286702473,4.00057250615858e-06,0.08597136363372578,0.979,"{'l1_ratio': 0.08597136363372578, 'alpha': 0.979}",0.7917688331099568,0.7810282319080472,0.7989970930232558,0.7905980526804198,0.007382322920556219,72,1489,0.8356948863645808
0.0014447371164957683,1.3532340219925286e-05,0.0018185774485270183,1.4904922434514568e-05,0.004978752450465695,0.256,"{'l1_ratio': 0.004978752450465695, 'alpha': 0.256}",0.7947797837056619,0.8113137626691536,0.817639534883721,0.8079110270861789,0.009637635016483551,22,1489,0.8402392502954835
0.0014257431030273438,3.936915739854443e-06,0.0018389225006103516,1.1930461886593632e-05,0.018198962288568488,0.481,"{'l1_ratio': 0.018198962288568488, 'alpha': 0.481}",0.7949805137453755,0.8099148287000723,0.8180348837209303,0.807643408722126,0.00954796680903323,46,1489,0.8400792138089638
0.0013751983642578125,8.697105420624067e-06,0.0016929308573404949,2.1706422621008022e-06,0.8122523963561191,0.907,"{'l1_ratio': 0.8122523963561191, 'alpha': 0.907}",0.5,0.5,0.5,0.5,0.0,84,1489,0.6773258942869403
0.0014255841573079426,6.992708494650185e-06,0.0018285115559895833,2.6429953810876036e-06,0.0050133824123549196,0.495,"{'l1_ratio': 0.0050133824123549196, 'alpha': 0.495}",0.7947241969254334,0.8110543576947545,0.8181279069767442,0.8079688205323107,0.009800469911423401,14,1489,0.8402329224731999
0.0014398892720540364,7.377718585507187e-06,0.0018230279286702473,2.4649401377472598e-06,0.0034005881378753947,0.155,"{'l1_ratio': 0.0034005881378753947, 'alpha': 0.155}",0.7949588966641755,0.8114866993187531,0.8172180232558139,0.8078878730795808,0.009436837107154847,26,1489,0.8403351244875538
0.0014272530873616536,9.69699162970838e-06,0.0018322467803955078,1.4246715444117583e-05,0.007289320246380996,0.862,"{'l1_ratio': 0.007289320246380996, 'alpha': 0.862}",0.7946871390719479,0.8104706965023563,0.8184593023255815,0.8078723792999618,0.009877326752131068,30,1489,0.8402072220593644
0.0013604164123535156,2.676241912918526e-06,0.0016994476318359375,1.590569424901565e-05,0.4383028606579605,0.38,"{'l1_ratio': 0.4383028606579605, 'alpha': 0.38}",0.5,0.5,0.5,0.5,0.0,84,1489,0.7625818981815072
0.0014458497365315754,2.657294829257407e-06,0.001822074254353841,1.1894408501860113e-06,0.0011453466301092527,0.148,"{'l1_ratio': 0.0011453466301092527, 'alpha': 0.148}",0.794924926965147,0.8115669913346386,0.8172267441860465,0.8079062208286106,0.009465505563604945,24,1489,0.8402951537842744
0.0014156500498453777,5.0663558484742565e-06,0.0018353462219238281,5.492258880351701e-06,0.009685216405772858,0.648,"{'l1_ratio': 0.009685216405772858, 'alpha': 0.648}",0.7948044889413189,0.8104274623399563,0.8183866279069767,0.8078728597294175,0.009795366776261381,29,1489,0.8401548119444358
0.0013647079467773438,9.785816929320442e-06,0.0017313957214355469,5.8408497001402355e-05,0.297301778750644,0.521,"{'l1_ratio': 0.297301778750644, 'alpha': 0.521}",0.5,0.6782235700300786,0.5,0.5594078566766929,0.08401539662369607,82,1489,0.7775553678153603
0.0014009475708007812,2.3330936093759665e-05,0.00182342529296875,1.53071412270303e-05,0.15712667181521153,0.641,"{'l1_ratio': 0.15712667181521153, 'alpha': 0.641}",0.7872354223668852,0.7631076715933024,0.795610465116279,0.7819845196921555,0.013778894026104424,74,1489,0.8336155658512675
0.0013603369394938152,5.224698357230377e-06,0.0016934871673583984,5.48189937622723e-06,0.4863274737060784,0.447,"{'l1_ratio': 0.4863274737060784, 'alpha': 0.447}",0.5,0.5,0.5,0.5,0.0,84,1489,0.7621552816057784
0.001458565394083659,1.5290214708730366e-05,0.0018225510915120442,1.3044689813389328e-05,0.001642375811042393,0.065,"{'l1_ratio': 0.001642375811042393, 'alpha': 0.065}",0.7950361005256038,0.811690517512924,0.8166598837209301,0.807795500586486,0.00924753543969232,35,1489,0.8402732914761804
0.001435995101928711,4.387592869390571e-06,0.0018340746561686199,5.8573168985647456e-06,0.12586944375707682,0.128,"{'l1_ratio': 0.12586944375707682, 'alpha': 0.128}",0.7958328443755442,0.808358398853677,0.8159622093023255,0.8067178175105156,0.008299255526713635,56,1489,0.8397328688650427
0.0011856555938720703,1.3335820552526242e-05,0.0014810562133789062,1.2107032230721817e-05,0.29524816535734666,0.083,"{'l1_ratio': 0.29524816535734666, 'alpha': 0.083}",0.7961200427400577,0.8058724345156848,0.8148197674418605,0.8056040815658676,0.007636488545575566,61,1489,0.8395686513506595
0.0011237462361653645,1.2315472926018462e-05,0.0013765494028727214,1.431350108971282e-05,0.34627736702768785,0.9430000000000001,"{'l1_ratio': 0.34627736702768785, 'alpha': 0.9430000000000001}",0.5,0.5,0.5,0.5,0.0,84,1489,0.7587421860680037
