,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
95,0.27989379564921063,0.012766396703410282,0.00431068738301595,0.0022512817829131375,0.07108926199067833,81,2,7,7,0.861177256572635,"{'learning_rate': 0.07108926199067833, 'max_depth': 81, 'min_samples_leaf': 2, 'min_samples_split': 7, 'n_estimators': 7, 'subsample': 0.861177256572635}",0.3223645740245691,0.3437963268705293,0.35208470371630696,0.33941520153713506,0.012522439102496794,154
96,7.446263551712036,0.128263257778359,0.031625827153523765,0.0031544594625496857,0.14231847372205322,69,1,3,138,0.5300518141593277,"{'learning_rate': 0.14231847372205322, 'max_depth': 69, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 138, 'subsample': 0.5300518141593277}",0.484768881572224,0.44166981118737425,0.39148614091973666,0.43930827789311166,0.03811911205274624,74
97,30.387358109156292,0.24046444213457388,0.12013920148213704,0.0053059447661972,0.029645955060357172,46,2,6,766,0.48099778219907696,"{'learning_rate': 0.029645955060357172, 'max_depth': 46, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 766, 'subsample': 0.48099778219907696}",0.5149942543946172,0.4771890108275776,0.44096664653974793,0.4777166372539809,0.030223947165704607,25
98,68.21270203590393,2.1668910023358365,0.12845460573832193,0.014412542229317402,0.17854514904717927,36,3,7,822,0.95240758591669,"{'learning_rate': 0.17854514904717927, 'max_depth': 36, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 822, 'subsample': 0.95240758591669}",0.49028280401097857,0.4384107268695827,0.38922376415466287,0.4393057650117414,0.04126203423751703,75
99,17.77192958196004,0.4628933713970133,0.059729576110839844,0.002361488714904423,0.18912139336326042,42,2,9,350,0.522417518113254,"{'learning_rate': 0.18912139336326042, 'max_depth': 42, 'min_samples_leaf': 2, 'min_samples_split': 9, 'n_estimators': 350, 'subsample': 0.522417518113254}",0.42394334613226137,0.4079558083823893,0.3371731339523968,0.38969076282234916,0.03770478614550534,130
100,13.788818915685018,0.060452149547738455,0.05972472826639811,0.0032886423248726024,0.2783721144119427,42,2,8,390,0.36721136445117,"{'learning_rate': 0.2783721144119427, 'max_depth': 42, 'min_samples_leaf': 2, 'min_samples_split': 8, 'n_estimators': 390, 'subsample': 0.36721136445117}",0.3583247536237212,0.2406706589912797,0.16485999194586898,0.2546184681869566,0.07959505654158133,176
101,38.480276584625244,4.437952669211524,0.07253940900166829,0.003713646673934911,0.2855729712700537,82,4,3,356,0.9748884207051931,"{'learning_rate': 0.2855729712700537, 'max_depth': 82, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 356, 'subsample': 0.9748884207051931}",0.4717006824173252,0.4090942804408162,0.3555258946982883,0.4121069525188099,0.04747597617165944,110
102,18.848308245340984,0.4161544747049396,0.06626033782958984,0.0030026449356249725,0.2963318183708133,77,3,9,375,0.46508787860610523,"{'learning_rate': 0.2963318183708133, 'max_depth': 77, 'min_samples_leaf': 3, 'min_samples_split': 9, 'n_estimators': 375, 'subsample': 0.46508787860610523}",0.3933132782141672,0.310488108256188,0.19438644308576947,0.2993959431853749,0.08158941323488322,167
103,11.295647303263346,0.17151019922980837,0.05831058820088705,0.0030132912736810175,0.08463095066476561,82,4,3,471,0.3443318681587707,"{'learning_rate': 0.08463095066476561, 'max_depth': 82, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 471, 'subsample': 0.3443318681587707}",0.4817193800009514,0.4108890604964608,0.3554534590848142,0.41602063319407545,0.05167540017560407,108
104,1.3336460590362549,0.010034326731455892,0.006666421890258789,0.0014145257693663695,0.12560533310811045,1,3,3,532,0.5254834537408328,"{'learning_rate': 0.12560533310811045, 'max_depth': 1, 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 532, 'subsample': 0.5254834537408328}",0.5187485452447493,0.5298905472372131,0.49017046999930713,0.5129365208270898,0.016728336335290604,4
