dataset,model,score,hyperparameters,iteration
digits,RandomForest,0.9132,"{'bootstrap': 0, 'max_depth': 75.0, 'min_samples_leaf': 11.0, 'min_samples_split': 5.0, 'n_estimators': 1811.0}",5
digits,RandomForest,0.9293,"{'bootstrap': 0, 'max_depth': 36.0, 'min_samples_leaf': 2.0, 'min_samples_split': 9.0, 'n_estimators': 243.0}",6
digits,RandomForest,0.9338,"{'bootstrap': 1, 'max_depth': 54.0, 'min_samples_leaf': 4.0, 'min_samples_split': 2.0, 'n_estimators': 1479.0}",7
digits,RandomForest,0.9277,"{'bootstrap': 1, 'max_depth': 96.0, 'min_samples_leaf': 7.0, 'min_samples_split': 9.0, 'n_estimators': 1201.0}",8
digits,RandomForest,0.911,"{'bootstrap': 0, 'max_depth': 68.0, 'min_samples_leaf': 10.0, 'min_samples_split': 5.0, 'n_estimators': 116.0}",9
digits,RandomForest,0.9193,"{'bootstrap': 1, 'max_depth': 81.0, 'min_samples_leaf': 10.0, 'min_samples_split': 3.0, 'n_estimators': 392.0}",10
digits,RandomForest,0.9216,"{'bootstrap': 0, 'max_depth': 83.0, 'min_samples_leaf': 6.0, 'min_samples_split': 3.0, 'n_estimators': 109.0}",11
digits,RandomForest,0.926,"{'bootstrap': 1, 'max_depth': 70.0, 'min_samples_leaf': 8.0, 'min_samples_split': 4.0, 'n_estimators': 123.0}",12
digits,RandomForest,0.9271,"{'bootstrap': 0, 'max_depth': 20.0, 'min_samples_leaf': 6.0, 'min_samples_split': 4.0, 'n_estimators': 501.0}",13
digits,RandomForest,0.9305,"{'bootstrap': 0, 'max_depth': 92.0, 'min_samples_leaf': 3.0, 'min_samples_split': 7.0, 'n_estimators': 401.0}",14
digits,RandomForest,0.9338,"{'bootstrap': 1, 'max_depth': 55.0, 'min_samples_leaf': 4.0, 'min_samples_split': 7.0, 'n_estimators': 1860.0}",15
digits,RandomForest,0.9332,"{'bootstrap': 0, 'max_depth': 15.0, 'min_samples_leaf': 2.0, 'min_samples_split': 7.0, 'n_estimators': 796.0}",16
digits,RandomForest,0.9305,"{'bootstrap': 1, 'max_depth': 25.0, 'min_samples_leaf': 6.0, 'min_samples_split': 5.0, 'n_estimators': 1593.0}",17
digits,RandomForest,0.9344,"{'bootstrap': 1, 'max_depth': 72.0, 'min_samples_leaf': 2.0, 'min_samples_split': 10.0, 'n_estimators': 1596.0}",18
digits,RandomForest,0.9388,"{'bootstrap': 0, 'max_depth': 45.0, 'min_samples_leaf': 1.0, 'min_samples_split': 4.0, 'n_estimators': 1029.0}",19
digits,RandomForest,0.9344,"{'bootstrap': 0, 'max_depth': 42.0, 'min_samples_leaf': 1.0, 'min_samples_split': 8.0, 'n_estimators': 794.0}",20
digits,RandomForest,0.936,"{'bootstrap': 0, 'max_depth': 31.0, 'min_samples_leaf': 1.0, 'min_samples_split': 6.0, 'n_estimators': 647.0}",21
digits,RandomForest,0.931,"{'bootstrap': 0, 'max_depth': 12.0, 'min_samples_leaf': 3.0, 'min_samples_split': 6.0, 'n_estimators': 961.0}",22
digits,RandomForest,0.9366,"{'bootstrap': 0, 'max_depth': 44.0, 'min_samples_leaf': 1.0, 'min_samples_split': 8.0, 'n_estimators': 1207.0}",23
digits,RandomForest,0.9388,"{'bootstrap': 1, 'max_depth': 44.0, 'min_samples_leaf': 3.0, 'min_samples_split': 2.0, 'n_estimators': 529.0}",24
digits,RandomForest,0.9299,"{'bootstrap': 0, 'max_depth': 45.0, 'min_samples_leaf': 4.0, 'min_samples_split': 3.0, 'n_estimators': 970.0}",25
digits,RandomForest,0.9377,"{'bootstrap': 1, 'max_depth': 34.0, 'min_samples_leaf': 2.0, 'min_samples_split': 2.0, 'n_estimators': 630.0}",26
digits,RandomForest,0.9371,"{'bootstrap': 0, 'max_depth': 63.0, 'min_samples_leaf': 1.0, 'min_samples_split': 2.0, 'n_estimators': 317.0}",27
digits,RandomForest,0.9366,"{'bootstrap': 1, 'max_depth': 50.0, 'min_samples_leaf': 3.0, 'min_samples_split': 4.0, 'n_estimators': 572.0}",28
digits,RandomForest,0.9266,"{'bootstrap': 0, 'max_depth': 30.0, 'min_samples_leaf': 5.0, 'min_samples_split': 3.0, 'n_estimators': 1261.0}",29
digits,RandomForest,0.9349,"{'bootstrap': 1, 'max_depth': 41.0, 'min_samples_leaf': 4.0, 'min_samples_split': 4.0, 'n_estimators': 916.0}",30
digits,RandomForest,0.9305,"{'bootstrap': 1, 'max_depth': 63.0, 'min_samples_leaf': 5.0, 'min_samples_split': 2.0, 'n_estimators': 1079.0}",31
digits,RandomForest,0.9388,"{'bootstrap': 1, 'max_depth': 49.0, 'min_samples_leaf': 2.0, 'min_samples_split': 3.0, 'n_estimators': 710.0}",32
digits,RandomForest,0.9204,"{'bootstrap': 0, 'max_depth': 51.0, 'min_samples_leaf': 7.0, 'min_samples_split': 6.0, 'n_estimators': 700.0}",33
digits,RandomForest,0.9366,"{'bootstrap': 1, 'max_depth': 24.0, 'min_samples_leaf': 3.0, 'min_samples_split': 4.0, 'n_estimators': 481.0}",34
digits,RandomForest,0.9382,"{'bootstrap': 1, 'max_depth': 60.0, 'min_samples_leaf': 2.0, 'min_samples_split': 5.0, 'n_estimators': 909.0}",35
digits,RandomForest,0.9382,"{'bootstrap': 0, 'max_depth': 38.0, 'min_samples_leaf': 1.0, 'min_samples_split': 3.0, 'n_estimators': 1379.0}",36
digits,RandomForest,0.9266,"{'bootstrap': 1, 'max_depth': 47.0, 'min_samples_leaf': 7.0, 'min_samples_split': 5.0, 'n_estimators': 1704.0}",37
digits,RandomForest,0.9377,"{'bootstrap': 0, 'max_depth': 59.0, 'min_samples_leaf': 2.0, 'min_samples_split': 3.0, 'n_estimators': 1352.0}",38
digits,RandomForest,0.9282,"{'bootstrap': 1, 'max_depth': 81.0, 'min_samples_leaf': 8.0, 'min_samples_split': 6.0, 'n_estimators': 1132.0}",39
digits,RandomForest,0.9282,"{'bootstrap': 0, 'max_depth': 65.0, 'min_samples_leaf': 4.0, 'min_samples_split': 4.0, 'n_estimators': 251.0}",40
digits,RandomForest,0.9299,"{'bootstrap': 1, 'max_depth': 50.0, 'min_samples_leaf': 5.0, 'min_samples_split': 2.0, 'n_estimators': 738.0}",41
digits,RandomForest,0.9165,"{'bootstrap': 0, 'max_depth': 77.0, 'min_samples_leaf': 10.0, 'min_samples_split': 3.0, 'n_estimators': 1028.0}",42
digits,RandomForest,0.9371,"{'bootstrap': 1, 'max_depth': 90.0, 'min_samples_leaf': 1.0, 'min_samples_split': 8.0, 'n_estimators': 867.0}",43
digits,RandomForest,0.9177,"{'bootstrap': 0, 'max_depth': 39.0, 'min_samples_leaf': 9.0, 'min_samples_split': 5.0, 'n_estimators': 1479.0}",44
digits,RandomForest,0.9316,"{'bootstrap': 1, 'max_depth': 21.0, 'min_samples_leaf': 5.0, 'min_samples_split': 2.0, 'n_estimators': 1998.0}",45
digits,RandomForest,0.9332,"{'bootstrap': 0, 'max_depth': 28.0, 'min_samples_leaf': 3.0, 'min_samples_split': 4.0, 'n_estimators': 351.0}",46
digits,RandomForest,0.9382,"{'bootstrap': 1, 'max_depth': 35.0, 'min_samples_leaf': 2.0, 'min_samples_split': 5.0, 'n_estimators': 1144.0}",47
digits,RandomForest,0.9266,"{'bootstrap': 0, 'max_depth': 17.0, 'min_samples_leaf': 4.0, 'min_samples_split': 9.0, 'n_estimators': 1277.0}",48
digits,RandomForest,0.9305,"{'bootstrap': 1, 'max_depth': 100.0, 'min_samples_leaf': 4.0, 'min_samples_split': 2.0, 'n_estimators': 226.0}",49
digits,XGBoost,0.9416,"{'colsample_bytree': 0.6099889009265744, 'learning_rate': 0.20006311461834939, 'max_depth': 8.0, 'n_estimators': 721.0, 'subsample': 0.5562895517986566}",0
digits,XGBoost,0.9316,"{'colsample_bytree': 0.9224226920812817, 'learning_rate': 0.1165126722002107, 'max_depth': 2.0, 'n_estimators': 833.0, 'subsample': 0.714092787413202}",1
digits,XGBoost,0.9327,"{'colsample_bytree': 0.8241130035190357, 'learning_rate': 0.28063483704277137, 'max_depth': 10.0, 'n_estimators': 298.0, 'subsample': 0.6524302366788151}",2
digits,XGBoost,0.9388,"{'colsample_bytree': 0.6211934125854985, 'learning_rate': 0.02597029940728221, 'max_depth': 7.0, 'n_estimators': 689.0, 'subsample': 0.589958974543034}",3
digits,XGBoost,0.9271,"{'colsample_bytree': 0.7846979574056636, 'learning_rate': 0.20319237969350248, 'max_depth': 2.0, 'n_estimators': 693.0, 'subsample': 0.6599736907350808}",4
digits,XGBoost,0.9343,"{'colsample_bytree': 0.5477598611850154, 'learning_rate': 0.28969146589795125, 'max_depth': 6.0, 'n_estimators': 626.0, 'subsample': 0.7392368556524378}",5
digits,XGBoost,0.9355,"{'colsample_bytree': 0.9970493577188424, 'learning_rate': 0.04414154416033324, 'max_depth': 2.0, 'n_estimators': 809.0, 'subsample': 0.6718415770472506}",6
digits,XGBoost,0.936,"{'colsample_bytree': 0.7426855006638531, 'learning_rate': 0.28860132681634276, 'max_depth': 3.0, 'n_estimators': 891.0, 'subsample': 0.7523320705607642}",7
digits,XGBoost,0.931,"{'colsample_bytree': 0.9024509916905116, 'learning_rate': 0.14606744972813848, 'max_depth': 7.0, 'n_estimators': 758.0, 'subsample': 0.8418716246062428}",8
digits,XGBoost,0.9399,"{'colsample_bytree': 0.5660608168260425, 'learning_rate': 0.10098981175672087, 'max_depth': 8.0, 'n_estimators': 378.0, 'subsample': 0.882230577320013}",9
digits,XGBoost,0.9121,"{'colsample_bytree': 0.978883540230548, 'learning_rate': 0.03300929755530355, 'max_depth': 2.0, 'n_estimators': 296.0, 'subsample': 0.707989670990699}",10
digits,XGBoost,0.9371,"{'colsample_bytree': 0.5744327166056319, 'learning_rate': 0.11882609738171955, 'max_depth': 7.0, 'n_estimators': 835.0, 'subsample': 0.8824893915735974}",11
digits,XGBoost,0.9305,"{'colsample_bytree': 0.9761156939583945, 'learning_rate': 0.079801804616199, 'max_depth': 3.0, 'n_estimators': 687.0, 'subsample': 0.590332460137105}",12
digits,XGBoost,0.9265,"{'colsample_bytree': 0.9647325874488941, 'learning_rate': 0.1927551861997359, 'max_depth': 4.0, 'n_estimators': 480.0, 'subsample': 0.8037010335854124}",13
digits,XGBoost,0.9394,"{'colsample_bytree': 0.7041018894007944, 'learning_rate': 0.2603994729592658, 'max_depth': 8.0, 'n_estimators': 201.0, 'subsample': 0.7515017102678467}",14
digits,XGBoost,0.9232,"{'colsample_bytree': 0.7257038026388763, 'learning_rate': 0.24881126218481583, 'max_depth': 1.0, 'n_estimators': 469.0, 'subsample': 0.9689417094713412}",15
digits,XGBoost,0.9316,"{'colsample_bytree': 0.9114598337402522, 'learning_rate': 0.11547328118859779, 'max_depth': 5.0, 'n_estimators': 622.0, 'subsample': 0.9260398939371571}",16
digits,XGBoost,0.9299,"{'colsample_bytree': 0.7708665893959279, 'learning_rate': 0.2783459906275231, 'max_depth': 7.0, 'n_estimators': 744.0, 'subsample': 0.9074963045413118}",17
digits,XGBoost,0.9416,"{'colsample_bytree': 0.5192754519958198, 'learning_rate': 0.19638961327652737, 'max_depth': 5.0, 'n_estimators': 304.0, 'subsample': 0.8974366211066153}",18
digits,XGBoost,0.9377,"{'colsample_bytree': 0.718453170766886, 'learning_rate': 0.1409453979283105, 'max_depth': 4.0, 'n_estimators': 496.0, 'subsample': 0.7808146766929438}",19
digits,XGBoost,0.9405,"{'colsample_bytree': 0.5127713178042248, 'learning_rate': 0.19696508069262925, 'max_depth': 11.0, 'n_estimators': 133.0, 'subsample': 0.5096115244223806}",20
digits,XGBoost,0.9349,"{'colsample_bytree': 0.6337065705838193, 'learning_rate': 0.2240070709170303, 'max_depth': 9.0, 'n_estimators': 82.0, 'subsample': 0.9929367766244073}",21
digits,XGBoost,0.9355,"{'colsample_bytree': 0.5068820635168146, 'learning_rate': 0.1837145960797227, 'max_depth': 5.0, 'n_estimators': 378.0, 'subsample': 0.5212402266733793}",22
digits,XGBoost,0.9371,"{'colsample_bytree': 0.6188034579225529, 'learning_rate': 0.2270091086474285, 'max_depth': 9.0, 'n_estimators': 971.0, 'subsample': 0.582528197572258}",23
digits,XGBoost,0.9321,"{'colsample_bytree': 0.6631957876109387, 'learning_rate': 0.1657662428607583, 'max_depth': 6.0, 'n_estimators': 588.0, 'subsample': 0.9526670646374937}",24
digits,XGBoost,0.9343,"{'colsample_bytree': 0.6753657093775133, 'learning_rate': 0.16894819323527313, 'max_depth': 5.0, 'n_estimators': 245.0, 'subsample': 0.8299157148739563}",25
digits,XGBoost,0.9421,"{'colsample_bytree': 0.540768357339333, 'learning_rate': 0.22538845826330994, 'max_depth': 10.0, 'n_estimators': 994.0, 'subsample': 0.5469321462506068}",26
digits,XGBoost,0.941,"{'colsample_bytree': 0.5920233073048117, 'learning_rate': 0.2315091893400259, 'max_depth': 11.0, 'n_estimators': 947.0, 'subsample': 0.5551149227873807}",27
digits,XGBoost,0.9416,"{'colsample_bytree': 0.5403447172733343, 'learning_rate': 0.25459290510246085, 'max_depth': 10.0, 'n_estimators': 892.0, 'subsample': 0.6311026828560827}",28
digits,XGBoost,0.9382,"{'colsample_bytree': 0.5482468569482952, 'learning_rate': 0.2611088014786379, 'max_depth': 10.0, 'n_estimators': 980.0, 'subsample': 0.6258115803181912}",29
digits,XGBoost,0.9366,"{'colsample_bytree': 0.8205826218309857, 'learning_rate': 0.2484714943887044, 'max_depth': 10.0, 'n_estimators': 904.0, 'subsample': 0.543225149311297}",30
digits,XGBoost,0.9399,"{'colsample_bytree': 0.652277484109773, 'learning_rate': 0.214923961582333, 'max_depth': 9.0, 'n_estimators': 888.0, 'subsample': 0.6214785419549171}",31
digits,XGBoost,0.9399,"{'colsample_bytree': 0.5025763168321493, 'learning_rate': 0.29823944350951065, 'max_depth': 10.0, 'n_estimators': 1001.0, 'subsample': 0.6795160302383598}",32
digits,XGBoost,0.9327,"{'colsample_bytree': 0.8700291379422531, 'learning_rate': 0.27281732507421774, 'max_depth': 11.0, 'n_estimators': 791.0, 'subsample': 0.5023568705116014}",33
digits,XGBoost,0.9366,"{'colsample_bytree': 0.593361978587031, 'learning_rate': 0.2412495540287417, 'max_depth': 9.0, 'n_estimators': 860.0, 'subsample': 0.6178675258233404}",34
digits,XGBoost,0.9371,"{'colsample_bytree': 0.6880830087828483, 'learning_rate': 0.2104798155875253, 'max_depth': 11.0, 'n_estimators': 933.0, 'subsample': 0.5742257634521349}",35
digits,XGBoost,0.9321,"{'colsample_bytree': 0.534298382822016, 'learning_rate': 0.29892522868868415, 'max_depth': 8.0, 'n_estimators': 551.0, 'subsample': 0.7004213992704662}",36
digits,XGBoost,0.9399,"{'colsample_bytree': 0.6386672512336944, 'learning_rate': 0.16352406493775148, 'max_depth': 10.0, 'n_estimators': 672.0, 'subsample': 0.6530481397946207}",37
digits,XGBoost,0.9421,"{'colsample_bytree': 0.5935734181220647, 'learning_rate': 0.26360713069145025, 'max_depth': 9.0, 'n_estimators': 775.0, 'subsample': 0.5286301081783816}",38
digits,XGBoost,0.9405,"{'colsample_bytree': 0.6035093277983457, 'learning_rate': 0.27677524688046756, 'max_depth': 7.0, 'n_estimators': 788.0, 'subsample': 0.5332224616314336}",39
digits,XGBoost,0.9388,"{'colsample_bytree': 0.8151247443962362, 'learning_rate': 0.2148665240264539, 'max_depth': 8.0, 'n_estimators': 724.0, 'subsample': 0.5999459137435339}",40
digits,XGBoost,0.9371,"{'colsample_bytree': 0.5662252327486853, 'learning_rate': 0.18203944865053204, 'max_depth': 6.0, 'n_estimators': 832.0, 'subsample': 0.7270493649603411}",41
digits,XGBoost,0.9327,"{'colsample_bytree': 0.7624878345110258, 'learning_rate': 0.23356566133954365, 'max_depth': 9.0, 'n_estimators': 649.0, 'subsample': 0.5686982523086211}",42
digits,XGBoost,0.9221,"{'colsample_bytree': 0.5675646845225181, 'learning_rate': 0.001258573659224882, 'max_depth': 11.0, 'n_estimators': 775.0, 'subsample': 0.5017133636412378}",43
digits,XGBoost,0.9321,"{'colsample_bytree': 0.8688618741042649, 'learning_rate': 0.07192214730882424, 'max_depth': 8.0, 'n_estimators': 425.0, 'subsample': 0.69525350313235}",44
digits,XGBoost,0.9332,"{'colsample_bytree': 0.7410874049301476, 'learning_rate': 0.13180217156527899, 'max_depth': 7.0, 'n_estimators': 849.0, 'subsample': 0.768547127477984}",45
digits,XGBoost,0.9316,"{'colsample_bytree': 0.7955128343045416, 'learning_rate': 0.28917045688256304, 'max_depth': 10.0, 'n_estimators': 556.0, 'subsample': 0.5475029509236217}",46
digits,XGBoost,0.9355,"{'colsample_bytree': 0.6811761430994566, 'learning_rate': 0.08952814738858503, 'max_depth': 9.0, 'n_estimators': 721.0, 'subsample': 0.672160149619164}",47
digits,XGBoost,0.9382,"{'colsample_bytree': 0.5842925773990902, 'learning_rate': 0.26469105263847414, 'max_depth': 8.0, 'n_estimators': 999.0, 'subsample': 0.5964028726602217}",48
digits,XGBoost,0.9371,"{'colsample_bytree': 0.6148283712390445, 'learning_rate': 0.15739733424066707, 'max_depth': 6.0, 'n_estimators': 610.0, 'subsample': 0.6428309214610517}",49
wine,KNN,0.7138,"{'n_neighbors': 13.0, 'p': 1, 'weights': 1}",0
wine,KNN,0.6798,"{'n_neighbors': 11.0, 'p': 1, 'weights': 0}",1
wine,KNN,0.7029,"{'n_neighbors': 18.0, 'p': 1, 'weights': 0}",2
wine,KNN,0.7086,"{'n_neighbors': 21.0, 'p': 1, 'weights': 1}",3
wine,KNN,0.7083,"{'n_neighbors': 27.0, 'p': 1, 'weights': 0}",4
wine,KNN,0.7641,"{'n_neighbors': 10.0, 'p': 0, 'weights': 0}",5
wine,KNN,0.7025,"{'n_neighbors': 23.0, 'p': 1, 'weights': 0}",6
wine,KNN,0.7757,"{'n_neighbors': 29.0, 'p': 0, 'weights': 1}",7
wine,KNN,0.6914,"{'n_neighbors': 12.0, 'p': 1, 'weights': 0}",8
wine,KNN,0.7311,"{'n_neighbors': 4.0, 'p': 0, 'weights': 0}",9
wine,KNN,0.7644,"{'n_neighbors': 26.0, 'p': 0, 'weights': 1}",10
wine,KNN,0.7252,"{'n_neighbors': 20.0, 'p': 0, 'weights': 0}",11
wine,KNN,0.7025,"{'n_neighbors': 9.0, 'p': 1, 'weights': 0}",12
wine,KNN,0.697,"{'n_neighbors': 26.0, 'p': 1, 'weights': 0}",13
wine,KNN,0.7756,"{'n_neighbors': 12.0, 'p': 0, 'weights': 0}",14
wine,KNN,0.7195,"{'n_neighbors': 11.0, 'p': 1, 'weights': 1}",15
wine,KNN,0.7083,"{'n_neighbors': 14.0, 'p': 1, 'weights': 1}",16
wine,KNN,0.6637,"{'n_neighbors': 2.0, 'p': 1, 'weights': 0}",17
wine,KNN,0.7476,"{'n_neighbors': 6.0, 'p': 0, 'weights': 0}",18
wine,KNN,0.7195,"{'n_neighbors': 11.0, 'p': 1, 'weights': 1}",19
wine,KNN,0.7702,"{'n_neighbors': 30.0, 'p': 0, 'weights': 1}",20
wine,KNN,0.7649,"{'n_neighbors': 16.0, 'p': 0, 'weights': 1}",21
wine,KNN,0.7589,"{'n_neighbors': 31.0, 'p': 0, 'weights': 1}",22
wine,KNN,0.7587,"{'n_neighbors': 7.0, 'p': 0, 'weights': 1}",23
wine,KNN,0.7871,"{'n_neighbors': 15.0, 'p': 0, 'weights': 1}",24
wine,KNN,0.7649,"{'n_neighbors': 16.0, 'p': 0, 'weights': 1}",25
wine,KNN,0.7702,"{'n_neighbors': 23.0, 'p': 0, 'weights': 1}",26
wine,KNN,0.7757,"{'n_neighbors': 29.0, 'p': 0, 'weights': 1}",27
wine,KNN,0.776,"{'n_neighbors': 14.0, 'p': 0, 'weights': 1}",28
wine,KNN,0.776,"{'n_neighbors': 14.0, 'p': 0, 'weights': 1}",29
wine,KNN,0.7705,"{'n_neighbors': 18.0, 'p': 0, 'weights': 1}",30
wine,KNN,0.7648,"{'n_neighbors': 8.0, 'p': 0, 'weights': 1}",31
wine,KNN,0.7705,"{'n_neighbors': 18.0, 'p': 0, 'weights': 1}",32
wine,KNN,0.7759,"{'n_neighbors': 20.0, 'p': 0, 'weights': 1}",33
wine,KNN,0.7702,"{'n_neighbors': 23.0, 'p': 0, 'weights': 1}",34
wine,KNN,0.8094,"{'n_neighbors': 1.0, 'p': 0, 'weights': 1}",35
wine,KNN,0.7419,"{'n_neighbors': 5.0, 'p': 0, 'weights': 1}",36
wine,KNN,0.7814,"{'n_neighbors': 3.0, 'p': 0, 'weights': 1}",37
wine,KNN,0.8094,"{'n_neighbors': 2.0, 'p': 0, 'weights': 1}",38
wine,KNN,0.8094,"{'n_neighbors': 1.0, 'p': 0, 'weights': 1}",39
wine,KNN,0.7703,"{'n_neighbors': 4.0, 'p': 0, 'weights': 1}",40
wine,KNN,0.7759,"{'n_neighbors': 9.0, 'p': 0, 'weights': 1}",41
wine,KNN,0.7251,"{'n_neighbors': 1.0, 'p': 1, 'weights': 1}",42
wine,KNN,0.759,"{'n_neighbors': 3.0, 'p': 0, 'weights': 0}",43
wine,KNN,0.7646,"{'n_neighbors': 6.0, 'p': 0, 'weights': 1}",44
wine,KNN,0.7084,"{'n_neighbors': 8.0, 'p': 1, 'weights': 1}",45
wine,KNN,0.7479,"{'n_neighbors': 2.0, 'p': 0, 'weights': 0}",46
wine,KNN,0.7195,"{'n_neighbors': 5.0, 'p': 1, 'weights': 1}",47
wine,KNN,0.7641,"{'n_neighbors': 10.0, 'p': 0, 'weights': 0}",48
wine,KNN,0.8094,"{'n_neighbors': 1.0, 'p': 0, 'weights': 1}",49
wine,RandomForest,0.9721,"{'bootstrap': 1, 'max_depth': 67.0, 'min_samples_leaf': 9.0, 'min_samples_split': 9.0, 'n_estimators': 1824.0}",0
wine,RandomForest,0.9719,"{'bootstrap': 1, 'max_depth': 49.0, 'min_samples_leaf': 4.0, 'min_samples_split': 8.0, 'n_estimators': 789.0}",1
wine,RandomForest,0.9497,"{'bootstrap': 0, 'max_depth': 49.0, 'min_samples_leaf': 9.0, 'min_samples_split': 4.0, 'n_estimators': 1438.0}",2
wine,RandomForest,0.9721,"{'bootstrap': 1, 'max_depth': 84.0, 'min_samples_leaf': 9.0, 'min_samples_split': 4.0, 'n_estimators': 1210.0}",3
wine,RandomForest,0.9554,"{'bootstrap': 0, 'max_depth': 91.0, 'min_samples_leaf': 9.0, 'min_samples_split': 2.0, 'n_estimators': 1271.0}",4
wine,RandomForest,0.9776,"{'bootstrap': 1, 'max_depth': 47.0, 'min_samples_leaf': 2.0, 'min_samples_split': 8.0, 'n_estimators': 1252.0}",5
wine,RandomForest,0.9776,"{'bootstrap': 1, 'max_depth': 54.0, 'min_samples_leaf': 2.0, 'min_samples_split': 9.0, 'n_estimators': 1074.0}",6
wine,RandomForest,0.9776,"{'bootstrap': 1, 'max_depth': 54.0, 'min_samples_leaf': 3.0, 'min_samples_split': 5.0, 'n_estimators': 974.0}",7
wine,RandomForest,0.9721,"{'bootstrap': 1, 'max_depth': 61.0, 'min_samples_leaf': 10.0, 'min_samples_split': 10.0, 'n_estimators': 1108.0}",8
wine,RandomForest,0.9721,"{'bootstrap': 1, 'max_depth': 39.0, 'min_samples_leaf': 10.0, 'min_samples_split': 7.0, 'n_estimators': 190.0}",9
wine,RandomForest,0.9721,"{'bootstrap': 1, 'max_depth': 31.0, 'min_samples_leaf': 2.0, 'min_samples_split': 5.0, 'n_estimators': 361.0}",10
wine,RandomForest,0.9497,"{'bootstrap': 0, 'max_depth': 16.0, 'min_samples_leaf': 9.0, 'min_samples_split': 9.0, 'n_estimators': 1068.0}",11
wine,RandomForest,0.9721,"{'bootstrap': 1, 'max_depth': 74.0, 'min_samples_leaf': 6.0, 'min_samples_split': 2.0, 'n_estimators': 1010.0}",12
wine,RandomForest,0.9554,"{'bootstrap': 0, 'max_depth': 81.0, 'min_samples_leaf': 11.0, 'min_samples_split': 4.0, 'n_estimators': 534.0}",13
wine,RandomForest,0.961,"{'bootstrap': 0, 'max_depth': 47.0, 'min_samples_leaf': 2.0, 'min_samples_split': 8.0, 'n_estimators': 1889.0}",14
wine,RandomForest,0.9663,"{'bootstrap': 0, 'max_depth': 22.0, 'min_samples_leaf': 6.0, 'min_samples_split': 5.0, 'n_estimators': 1377.0}",15
wine,RandomForest,0.9721,"{'bootstrap': 1, 'max_depth': 28.0, 'min_samples_leaf': 8.0, 'min_samples_split': 7.0, 'n_estimators': 1585.0}",16
wine,RandomForest,0.9554,"{'bootstrap': 0, 'max_depth': 60.0, 'min_samples_leaf': 10.0, 'min_samples_split': 7.0, 'n_estimators': 1859.0}",17
wine,RandomForest,0.9665,"{'bootstrap': 0, 'max_depth': 76.0, 'min_samples_leaf': 11.0, 'min_samples_split': 3.0, 'n_estimators': 235.0}",18
wine,RandomForest,0.9497,"{'bootstrap': 0, 'max_depth': 78.0, 'min_samples_leaf': 10.0, 'min_samples_split': 5.0, 'n_estimators': 841.0}",19
wine,RandomForest,0.9721,"{'bootstrap': 1, 'max_depth': 37.0, 'min_samples_leaf': 1.0, 'min_samples_split': 10.0, 'n_estimators': 1576.0}",20
wine,RandomForest,0.9719,"{'bootstrap': 1, 'max_depth': 100.0, 'min_samples_leaf': 4.0, 'min_samples_split': 11.0, 'n_estimators': 665.0}",21
wine,RandomForest,0.9721,"{'bootstrap': 1, 'max_depth': 68.0, 'min_samples_leaf': 1.0, 'min_samples_split': 11.0, 'n_estimators': 1611.0}",22
wine,RandomForest,0.9778,"{'bootstrap': 1, 'max_depth': 10.0, 'min_samples_leaf': 5.0, 'min_samples_split': 9.0, 'n_estimators': 593.0}",23
wine,RandomForest,0.9833,"{'bootstrap': 1, 'max_depth': 23.0, 'min_samples_leaf': 5.0, 'min_samples_split': 8.0, 'n_estimators': 478.0}",24
wine,RandomForest,0.9719,"{'bootstrap': 1, 'max_depth': 11.0, 'min_samples_leaf': 5.0, 'min_samples_split': 10.0, 'n_estimators': 450.0}",25
wine,RandomForest,0.9721,"{'bootstrap': 1, 'max_depth': 13.0, 'min_samples_leaf': 7.0, 'min_samples_split': 6.0, 'n_estimators': 117.0}",26
wine,RandomForest,0.9833,"{'bootstrap': 1, 'max_depth': 21.0, 'min_samples_leaf': 5.0, 'min_samples_split': 6.0, 'n_estimators': 612.0}",27
wine,RandomForest,0.9663,"{'bootstrap': 1, 'max_depth': 20.0, 'min_samples_leaf': 7.0, 'min_samples_split': 6.0, 'n_estimators': 339.0}",28
wine,RandomForest,0.9721,"{'bootstrap': 1, 'max_depth': 26.0, 'min_samples_leaf': 5.0, 'min_samples_split': 6.0, 'n_estimators': 749.0}",29
wine,RandomForest,0.9719,"{'bootstrap': 1, 'max_depth': 34.0, 'min_samples_leaf': 4.0, 'min_samples_split': 8.0, 'n_estimators': 896.0}",30
wine,RandomForest,0.9776,"{'bootstrap': 1, 'max_depth': 42.0, 'min_samples_leaf': 3.0, 'min_samples_split': 7.0, 'n_estimators': 664.0}",31
wine,RandomForest,0.9719,"{'bootstrap': 1, 'max_depth': 20.0, 'min_samples_leaf': 7.0, 'min_samples_split': 8.0, 'n_estimators': 478.0}",32
wine,RandomForest,0.9778,"{'bootstrap': 1, 'max_depth': 29.0, 'min_samples_leaf': 3.0, 'min_samples_split': 3.0, 'n_estimators': 362.0}",33
wine,RandomForest,0.9667,"{'bootstrap': 1, 'max_depth': 42.0, 'min_samples_leaf': 5.0, 'min_samples_split': 6.0, 'n_estimators': 121.0}",34
wine,RandomForest,0.9776,"{'bootstrap': 1, 'max_depth': 23.0, 'min_samples_leaf': 4.0, 'min_samples_split': 4.0, 'n_estimators': 734.0}",35
