mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.7998153686523437,0.028283447929264002,0.05500726699829102,0.008280295330800038,33,7,4,log2,12,"{'model__n_estimators': 33, 'model__min_samples_split': 7, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 12}",0.8511731000363362,0.838168844282953,0.8571170430292503,0.8521338401850624,0.8472050662370211,0.8491595787541245,0.006337792992812223,257
1.0859983444213868,0.0294761383787135,0.0939753532409668,0.047442293911290914,56,13,3,sqrt,9,"{'model__n_estimators': 56, 'model__min_samples_split': 13, 'model__min_samples_leaf': 3, 'model__max_features': 'sqrt', 'model__max_depth': 9}",0.8541674819017806,0.8419355470334349,0.8598619304561387,0.8554362085700461,0.8492559523809524,0.8521314240684706,0.006116405922623207,94
1.3554258823394776,0.030641030989696214,0.11604275703430175,0.00765958210774045,175,5,4,sqrt,2,"{'model__n_estimators': 175, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 2}",0.8450177488330493,0.825564124296156,0.8449570770431413,0.8433780604809499,0.8338010204081633,0.8385436062122918,0.007712044473012706,391
1.7822211742401124,0.03532390908728031,0.13084349632263184,0.011813337756758883,191,3,7,sqrt,3,"{'model__n_estimators': 191, 'model__min_samples_split': 3, 'model__min_samples_leaf': 7, 'model__max_features': 'sqrt', 'model__max_depth': 3}",0.8493459485144087,0.8305042503377613,0.8514832126343702,0.8452790341845198,0.8393307487468673,0.8431886388835854,0.007574420072845527,338
1.4272698879241943,0.02634095263548753,0.1095883846282959,0.011897792840142061,184,7,1,log2,2,"{'model__n_estimators': 184, 'model__min_samples_split': 7, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 2}",0.8456323895239959,0.8250407691167297,0.8462941362401784,0.8402695377075868,0.8351344320622988,0.838474252930158,0.007838691634520018,393
3.2548327922821043,0.03556069401274023,0.14491920471191405,0.014428446054952023,153,2,4,log2,11,"{'model__n_estimators': 153, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 11}",0.8552405176510047,0.8428323277417407,0.8607450049090771,0.8541100584334029,0.8497258771929824,0.8525307571856416,0.005987282277032471,44
0.6131193161010742,0.022240752916826874,0.06913523674011231,0.017079225101609415,40,9,5,log2,6,"{'model__n_estimators': 40, 'model__min_samples_split': 9, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 6}",0.8531735472510271,0.839414435204377,0.8585215146251338,0.8492725894473021,0.8461502528643036,0.8493064678784288,0.006444944387749645,252
0.8197561264038086,0.033529788605370085,0.07796249389648438,0.01963222859081324,57,12,8,log2,6,"{'model__n_estimators': 57, 'model__min_samples_split': 12, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': 6}",0.854213880425972,0.8390790515271286,0.8571514485274168,0.8499579022156583,0.8468666084854994,0.849453778236335,0.006268895331122989,247
2.8161207675933837,0.05406703435604252,0.12051758766174317,0.006471339147945268,129,7,1,sqrt,11,"{'model__n_estimators': 129, 'model__min_samples_split': 7, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 11}",0.8533499175447913,0.8428770828613068,0.8596708820394908,0.8548910352698316,0.8505174767275331,0.8522612788885906,0.005551701588840675,82
1.141226577758789,0.03252179395854453,0.09000678062438965,0.017840739986271267,88,12,8,log2,5,"{'model__n_estimators': 88, 'model__min_samples_split': 12, 'model__min_samples_leaf': 8, 'model__max_features': 'log2', 'model__max_depth': 5}",0.8525049612879783,0.836948428116285,0.8545900570907494,0.8479643413584856,0.8448473303795203,0.8473710236466037,0.006226127380248353,300
1.9737985134124756,0.06898629552956925,0.1159977912902832,0.013110483938322834,146,8,10,log2,6,"{'model__n_estimators': 146, 'model__min_samples_split': 8, 'model__min_samples_leaf': 10, 'model__max_features': 'log2', 'model__max_depth': 6}",0.8527707745199429,0.8401120556306136,0.8577383000327272,0.8505285299901258,0.8474000290905837,0.8497099378527986,0.005864272079687786,243
3.74566388130188,0.09364729455811892,0.1676473617553711,0.014166741516115973,188,7,1,log2,10,"{'model__n_estimators': 188, 'model__min_samples_split': 7, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 10}",0.8549515051569443,0.8434695287565629,0.8596339590658488,0.8543349529092226,0.8506483843537413,0.8526076660484639,0.005388696190301522,34
1.4002190113067627,0.023263904774790622,0.0826035976409912,0.0008694323156749754,64,11,4,sqrt,11,"{'model__n_estimators': 64, 'model__min_samples_split': 11, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 11}",0.8542549682757079,0.8412832411657589,0.8587511643324073,0.8548460004307681,0.8488626700680273,0.8515996088545339,0.0060440551600071815,144
3.947109842300415,0.11605211494090659,0.1866727352142334,0.025054322837031334,222,13,6,log2,9,"{'model__n_estimators': 222, 'model__min_samples_split': 13, 'model__min_samples_leaf': 6, 'model__max_features': 'log2', 'model__max_depth': 9}",0.8558459345389496,0.8429330267607643,0.8600395523369165,0.8545755116768904,0.8498383234872897,0.8526464697601621,0.005845547159442025,31
1.366163158416748,0.018335653576174265,0.09459080696105956,0.012718190886188228,110,6,3,log2,5,"{'model__n_estimators': 110, 'model__min_samples_split': 6, 'model__min_samples_leaf': 3, 'model__max_features': 'log2', 'model__max_depth': 5}",0.8523853313581351,0.8377333210256753,0.855246838470382,0.8485327313769752,0.8461745882563552,0.8480145620975044,0.006012775841135658,290
0.8655324935913086,0.03307669652682767,0.09979424476623536,0.03715091326356788,44,10,1,log2,9,"{'model__n_estimators': 44, 'model__min_samples_split': 10, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 9}",0.8545202224893087,0.8424328882996132,0.8597349378043698,0.8541690792473308,0.8493697972610096,0.8520453850203265,0.0058193295618964415,101
1.6572455406188964,0.05595777340189767,0.09795455932617188,0.011477988483993022,107,7,6,sqrt,7,"{'model__n_estimators': 107, 'model__min_samples_split': 7, 'model__min_samples_leaf': 6, 'model__max_features': 'sqrt', 'model__max_depth': 7}",0.8544844453140287,0.8418784842559881,0.8591315828487194,0.8528829289988,0.8487784752058718,0.8514311833246815,0.0058140699508748865,160
1.4627015113830566,0.04434960488893561,0.08187446594238282,0.012242602725331075,57,4,1,sqrt,13,"{'model__n_estimators': 57, 'model__min_samples_split': 4, 'model__min_samples_leaf': 1, 'model__max_features': 'sqrt', 'model__max_depth': 13}",0.8506509768845906,0.8377313629891944,0.8565956458863051,0.8524599931189004,0.8454434076262085,0.8485762773010398,0.006498075688278397,269
1.5142309665679932,0.04648500641079728,0.10402231216430664,0.008063669200375169,126,15,7,log2,5,"{'model__n_estimators': 126, 'model__min_samples_split': 15, 'model__min_samples_leaf': 7, 'model__max_features': 'log2', 'model__max_depth': 5}",0.8528104648237694,0.838194858196201,0.8549016646107284,0.8487419615609468,0.8455334765485141,0.8480364851480319,0.005891382538535898,288
1.738912868499756,0.021448786022707247,0.10897126197814941,0.007210344212540312,141,13,6,sqrt,5,"{'model__n_estimators': 141, 'model__min_samples_split': 13, 'model__min_samples_leaf': 6, 'model__max_features': 'sqrt', 'model__max_depth': 5}",0.8527020152612013,0.8377456286835561,0.8555201244192323,0.8493704912713531,0.8455180921052632,0.8481712703481211,0.0061920076769153955,285
0.7847245693206787,0.043876624376461545,0.08026289939880371,0.035978730679444085,59,12,6,sqrt,5,"{'model__n_estimators': 59, 'model__min_samples_split': 12, 'model__min_samples_leaf': 6, 'model__max_features': 'sqrt', 'model__max_depth': 5}",0.8523350197053974,0.8372768188061013,0.8543486591645897,0.8488169263862199,0.8454803302900107,0.8476515508704636,0.006008219439069491,296
