,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
22,0.5560578823089599,0.013824844012914091,0.045799756050109865,0.030378727686703706,20,28,48,"{'model__max_depth': 20, 'model__min_samples_leaf': 28, 'model__min_samples_split': 48}",0.8913584904744807,0.8861717407971739,0.8955498819824046,0.8896696113481162,0.8966815658576976,0.8882572795701662,0.8823648859163246,0.9099114170961247,0.9144229988228547,0.8917693183347336,0.8946157190200077,0.009676859223845657,18
23,0.6818002700805664,0.04130068836183099,0.04715011119842529,0.028934553307605474,28,7,45,"{'model__max_depth': 28, 'model__min_samples_leaf': 7, 'model__min_samples_split': 45}",0.8886125641747299,0.8871598375372431,0.8977199024824306,0.885653254970135,0.8892592471362395,0.8812877556290211,0.8680306275965991,0.8976374659494689,0.8946455047237346,0.8850907468628655,0.8875096907062467,0.008304118201877852,30
24,0.7157006740570069,0.038812386029757076,0.03049945831298828,0.014926779170203413,29,8,48,"{'model__max_depth': 29, 'model__min_samples_leaf': 8, 'model__min_samples_split': 48}",0.8859066712603966,0.890511723716263,0.8966379229873059,0.8879311703441846,0.8915898976453459,0.8818623867558437,0.8701448822066806,0.9015998748904381,0.8993061995909692,0.8824097410886712,0.8887900470486099,0.008902067864710818,29
25,0.19360013008117677,0.03513463698218676,0.03054947853088379,0.008088758385103261,3,14,18,"{'model__max_depth': 3, 'model__min_samples_leaf': 14, 'model__min_samples_split': 18}",0.8332985568571125,0.8202810343656286,0.8469038414212058,0.822200764477613,0.8249939081826745,0.8503970895054657,0.830847508173946,0.847023253163805,0.8506765251061672,0.8385789638940109,0.836520144514763,0.011222801793031808,46
26,0.2299492597579956,0.01494053412360704,0.027250218391418456,0.005984064415538516,4,50,41,"{'model__max_depth': 4, 'model__min_samples_leaf': 50, 'model__min_samples_split': 41}",0.8518388668368287,0.8399137705140771,0.8603403901430153,0.8360822280170256,0.8504255786014158,0.8601397541694096,0.8479409657439838,0.8649998727082947,0.8616660423311597,0.8490908341486063,0.8522438303213816,0.009080464844747171,44
27,0.22650017738342285,0.009283845886641441,0.024100017547607423,0.007185487687171073,4,2,7,"{'model__max_depth': 4, 'model__min_samples_leaf': 2, 'model__min_samples_split': 7}",0.850723997709605,0.8394054678325684,0.8604173713171782,0.8359343271784763,0.8482197951937076,0.8610677713162084,0.8489871823314263,0.8652223301170963,0.8604052482976251,0.8522288777599569,0.8522612369053849,0.009163231151059941,43
28,0.5476007223129272,0.04325794186780793,0.03329975605010986,0.019459027654353426,22,42,5,"{'model__max_depth': 22, 'model__min_samples_leaf': 42, 'model__min_samples_split': 5}",0.8989066033249546,0.8905954298857713,0.9040129619325065,0.8938344747156244,0.9030891878425511,0.8881124094865054,0.8877365958803555,0.9088518651871733,0.9106078845694571,0.8956353492702549,0.8981382762095155,0.007875790403344853,1
29,0.5617547035217285,0.039461896519683376,0.03654999732971191,0.028446850175896193,22,29,19,"{'model__max_depth': 22, 'model__min_samples_leaf': 29, 'model__min_samples_split': 19}",0.8929689243878531,0.8889025029357815,0.8960584426526622,0.8903751710861134,0.8984527390144227,0.8898453951316379,0.8867431144279693,0.9103387535353755,0.9156977343288757,0.8917978074306836,0.8961180584931376,0.009120902669145777,14
30,0.529217529296875,0.03522817091248961,0.03374958038330078,0.01930765226718267,26,44,35,"{'model__max_depth': 26, 'model__min_samples_leaf': 44, 'model__min_samples_split': 35}",0.8933704713749163,0.8894617571987306,0.904326341987957,0.893997529328615,0.9038317227901858,0.888182722999914,0.8890052698765998,0.9123311717989471,0.9127233514814936,0.8907249202002238,0.8977955259037584,0.009145150855780828,2
31,0.43260009288787843,0.048652977118607804,0.03164970874786377,0.016538014060373158,10,36,15,"{'model__max_depth': 10, 'model__min_samples_leaf': 36, 'model__min_samples_split': 15}",0.8922574219470296,0.8917127252787779,0.8981278420903965,0.8864545865626027,0.8905497425676798,0.892828870243685,0.8844064024090864,0.9080184075928898,0.8997832404103883,0.8883530514246366,0.8932492290527174,0.00666158061815684,21
32,0.5872523069381714,0.04747068528297535,0.04315009117126465,0.03542787076324097,16,15,9,"{'model__max_depth': 16, 'model__min_samples_leaf': 15, 'model__min_samples_split': 9}",0.8817868719611023,0.8828956754238686,0.8930210201036032,0.8761809336422278,0.8898484258865261,0.8814011058618436,0.8708613526622757,0.8889210148907049,0.9005197138482465,0.8833274536688499,0.8848763567949248,0.0080753086646233,33
33,0.5200637578964233,0.029145867564474143,0.03470332622528076,0.025076701978078344,14,23,58,"{'model__max_depth': 14, 'model__min_samples_leaf': 23, 'model__min_samples_split': 58}",0.8904183124836227,0.8868328982230029,0.8908152366958952,0.8866667394047841,0.8919796527239817,0.8936065619480237,0.8804936978482851,0.9105612109441772,0.9067436720868685,0.8902957653080397,0.8928413747666679,0.008670318175086504,23
34,0.5451833009719849,0.024303926316326864,0.0406304121017456,0.02630208818712301,30,40,22,"{'model__max_depth': 30, 'model__min_samples_leaf': 40, 'model__min_samples_split': 22}",0.8966337988528615,0.8881024417938839,0.9012264858881991,0.8907261325021789,0.8991049574663859,0.8899999636309412,0.885628402780051,0.90793536490895,0.9109873350814728,0.8929931371586308,0.8963338020063556,0.00803812366554797,12
35,0.530381727218628,0.03189382535366996,0.06870391368865966,0.041191499764110864,16,45,19,"{'model__max_depth': 16, 'model__min_samples_leaf': 45, 'model__min_samples_split': 19}",0.8963747949805413,0.8907689078892459,0.9034856105819413,0.8933859229921551,0.904751859974275,0.8878778290581506,0.8860963513348051,0.90924404486972,0.9104563468250417,0.8937677981080816,0.8976209466613957,0.008331376018221941,3
36,0.5085095643997193,0.03797640080829081,0.024699950218200685,0.007239243253982592,15,53,25,"{'model__max_depth': 15, 'model__min_samples_leaf': 53, 'model__min_samples_split': 25}",0.8908805161152573,0.8891827366337018,0.9046166883062566,0.8929664665156138,0.9037456493513578,0.8877081067844055,0.8871286264497615,0.9101514528832786,0.909567729491791,0.8886306685724052,0.8964578641103829,0.008945072587657423,11
37,0.5920356273651123,0.03714931279431649,0.040049624443054196,0.03213649101906542,26,25,46,"{'model__max_depth': 26, 'model__min_samples_leaf': 25, 'model__min_samples_split': 46}",0.8952459748250663,0.8935748842671221,0.8926918801227335,0.8888022092990833,0.8964863852428908,0.8868734368881664,0.8792674544204773,0.9105218111306292,0.9092161619247476,0.8919881388376693,0.8944668336958586,0.009004717486670703,19
38,0.4047826290130615,0.0177980470358147,0.049096989631652835,0.055122240273230816,9,29,16,"{'model__max_depth': 9, 'model__min_samples_leaf': 29, 'model__min_samples_split': 16}",0.8941432370267569,0.894778918661866,0.8972216463787935,0.887412305107307,0.8905945977400267,0.8944309272776426,0.8807828318646296,0.9078577775838095,0.8980654085396975,0.8859739088373175,0.8931261559017848,0.007114967374030284,22
39,0.5478006362915039,0.009884296288619192,0.022549915313720702,0.0040340180060934455,13,1,26,"{'model__max_depth': 13, 'model__min_samples_leaf': 1, 'model__min_samples_split': 26}",0.8698805791981676,0.8758212909674976,0.8768925548900017,0.883211072681139,0.8753008024226643,0.8708649895681417,0.8567695547336148,0.8785079472454681,0.883572338663825,0.8716802626330956,0.8742501393003617,0.00733902462393172,40
40,0.35374977588653567,0.018135934647428405,0.028749585151672363,0.012178635345278958,7,9,25,"{'model__max_depth': 7, 'model__min_samples_leaf': 9, 'model__min_samples_split': 25}",0.8834931433728975,0.8811396655635244,0.8887791755619323,0.8784558182613893,0.8826709921600432,0.8842306186255646,0.8814683886203641,0.8974774420913664,0.8883172885169545,0.8784618797711659,0.8844494412545203,0.005469703983025066,35
41,0.08734965324401855,0.009243581295160707,0.025100231170654297,0.005444754996484362,1,44,9,"{'model__max_depth': 1, 'model__min_samples_leaf': 44, 'model__min_samples_split': 9}",0.7144321567561797,0.7072904434243344,0.7366443724337083,0.6983768489120197,0.7186198669619834,0.7354678333860684,0.7286377241697853,0.7403740193992558,0.7205201502769504,0.7295996857713333,0.7229963101491619,0.012925342795140876,49
42,0.6341408967971802,0.04442948264223422,0.02709994316101074,0.014820517514733955,24,11,52,"{'model__max_depth': 24, 'model__min_samples_leaf': 11, 'model__min_samples_split': 52}",0.892352652879007,0.8865350740981569,0.9060617522370003,0.8892483364186419,0.8979775166479367,0.8849967934613282,0.8737623912413609,0.8975010819794952,0.8990085794609377,0.8895847502112435,0.8917028928635109,0.008584946604261855,28
43,0.6622872591018677,0.09208110417481204,0.029851102828979494,0.015854949209766416,17,8,36,"{'model__max_depth': 17, 'model__min_samples_leaf': 8, 'model__min_samples_split': 36}",0.8833402886285775,0.885659192150545,0.8968027960532298,0.8841336344691391,0.8824448978453758,0.882871628133649,0.8649538052339925,0.8889119226260402,0.891523827188781,0.8776775204060726,0.8838319512735403,0.008086983290477119,36
44,0.20945053100585936,0.027217065641322962,0.03754966259002686,0.019295562110662186,3,33,60,"{'model__max_depth': 3, 'model__min_samples_leaf': 33, 'model__min_samples_split': 60}",0.8332985568571125,0.8202810343656286,0.8469038414212058,0.822200764477613,0.8249939081826745,0.8503970895054657,0.830847508173946,0.847023253163805,0.8506765251061672,0.8385789638940109,0.836520144514763,0.011222801793031808,46
45,0.25716352462768555,0.004621337090966148,0.024548935890197753,0.004573585150332692,5,42,40,"{'model__max_depth': 5, 'model__min_samples_leaf': 42, 'model__min_samples_split': 40}",0.8691053872805443,0.8649825551490212,0.8758766458514421,0.8570168643325005,0.8742945917997471,0.8724682589040548,0.8596748363695437,0.8794311151844456,0.8781103122041225,0.8638991025328624,0.8694859669608285,0.007412951069820573,41
46,0.5192564010620118,0.022953194798215375,0.03330087661743164,0.009058396605190137,26,41,29,"{'model__max_depth': 26, 'model__min_samples_leaf': 41, 'model__min_samples_split': 29}",0.8970116897485418,0.8898899931094051,0.8992904396655503,0.8936726324045888,0.9012737656644566,0.8885870257020138,0.8875759658712754,0.9080123460831129,0.9095695479447239,0.896348182819984,0.8971231589013653,0.007240607285573159,7
47,0.36686363220214846,0.0782484486415852,0.031700754165649415,0.0172742224264226,7,9,9,"{'model__max_depth': 7, 'model__min_samples_leaf': 9, 'model__min_samples_split': 9}",0.8837224254893777,0.8799295655043236,0.8889482916846996,0.8787146447288505,0.882724939597055,0.8851034760333966,0.8816108341001144,0.8979284184187462,0.8881887845096905,0.8781630473391789,0.8845034427405434,0.005663036582675309,34
48,0.46890926361083984,0.04343070190437213,0.0360295295715332,0.023374790493594914,12,34,34,"{'model__max_depth': 12, 'model__min_samples_leaf': 34, 'model__min_samples_split': 34}",0.8940267762691796,0.8847305389221558,0.9027673216734132,0.889010119084421,0.8959523662315716,0.8921008829195141,0.88496527361049,0.9086548661194335,0.9065133347153576,0.8900593664267522,0.8948780845972288,0.008098765591599109,17
49,0.45526995658874514,0.05253329480651421,0.013050651550292969,0.0012734330388513512,16,55,24,"{'model__max_depth': 16, 'model__min_samples_leaf': 55, 'model__min_samples_split': 24}",0.8911443725191431,0.8881667378371296,0.9033522573668559,0.89449639158323,0.9041717734886535,0.8888640366988046,0.8859690596294962,0.9109467229659695,0.9077741287488923,0.8913716832933881,0.8966257164131562,0.008597173956386763,8
