,hyperparameters,mean_brier,mean_roc_auc,mean_accuracy,dataset
42,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 70, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10770561129343481,0.8107297560337878,0.8549042563969786,kc1
43,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 194, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.1077932540501128,0.8101467187802285,0.8520606545012439,kc1
44,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 836, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10749662480856334,0.8120708037281071,0.8530096475329557,kc1
45,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 312, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10761096574462817,0.8109896057896719,0.851111661469532,kc1
46,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 194, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.1077932540501128,0.8101467187802285,0.8520606545012439,kc1
47,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 531, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10752178082012795,0.811902620952522,0.8511105357363983,kc1
48,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1394, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10752235637135892,0.8117228833074834,0.8515855951188211,kc1
49,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 529, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.1075199105015103,0.8119368244665667,0.8511105357363983,kc1
0,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1976, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07081859785579656,0.9610561023239935,0.9080321718573338,phoneme
1,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 236, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.0710179846587786,0.9603929327146069,0.9076623154143968,phoneme
2,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 75, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07209034986960597,0.9589102885684326,0.9054421489019082,phoneme
3,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 750, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07079781829450807,0.9610711303544022,0.9085866995580224,phoneme
4,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1378, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07077041608962603,0.9611131018975019,0.9087718847432076,phoneme
5,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 6, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.08495161121186558,0.9387753685620932,0.8854568814883338,phoneme
6,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 499, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07083466484835436,0.9609409631441199,0.907106588549697,phoneme
7,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 783, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07080338862250998,0.9610702702968345,0.9084015143728372,phoneme
8,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1063, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.07074398313394413,0.9611479042816009,0.9089567273101039,phoneme
