,hyperparameters,mean_brier,mean_roc_auc,mean_accuracy,spam_brier,spam_roc_auc,spam_accuracy,mt_brier,mt_roc_auc,mt_accuracy,kc1_brier,kc1_roc_auc,kc1_accuracy,phoneme_brier,phoneme_roc_auc,phoneme_accuracy
582,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 15, 'min_samples_split': 48}",0.10970419218662597,0.8715425229702999,0.8510305676965375,0.09047843109859341,0.9315162468500612,0.8808971817023086,0.11751029895734817,0.8847821589168987,0.8420609884332283,0.11860708273973519,0.766931954364208,0.8364174668753025,0.11222095595082708,0.9029397317500317,0.8447466337753109
583,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 43, 'min_samples_split': 48}",0.11147969951826214,0.8690908039513243,0.8460433079241236,0.09231288997204885,0.9332011653623491,0.875681442666289,0.11817513621325162,0.8853222737085951,0.8394321766561514,0.11580510086627213,0.7640702236736605,0.8411545519019261,0.11962567102147595,0.8937695530606924,0.8279050604721279
584,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 7, 'min_samples_split': 48}",0.11080748991442968,0.8677724621751941,0.8496088436485589,0.09153831651678722,0.9296610176791296,0.8791582873058585,0.1178575666966994,0.8829501412530533,0.8421135646687696,0.12119389418066562,0.7569541551200507,0.831677004649278,0.1126401822635665,0.9015245346485425,0.8454865179703293
585,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 21, 'min_samples_split': 48}",0.10943962150483173,0.8722403801871428,0.8509180949940218,0.09013995454175103,0.9325250140419736,0.8808985979323042,0.11700341198239264,0.8853235104669885,0.8420609884332283,0.11711146175666151,0.7692642464387343,0.8368914005245915,0.11350365773852171,0.9018487498008747,0.8438213930859628
586,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 44, 'min_samples_split': 48}",0.11173895121594014,0.8702996673476494,0.845547127724358,0.09256581904694061,0.9325806981080611,0.8767674550346977,0.11806582357160197,0.8851830340653113,0.8400630914826499,0.11499503271153318,0.7721162110636665,0.8411545519019261,0.1213291295336848,0.8913187261535587,0.8242034124781581
587,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 9, 'min_samples_split': 48}",0.1106347305574667,0.868712696709161,0.8500791928742768,0.09103767127785897,0.9297824271260542,0.8795928338762214,0.11779517802912016,0.8833165759150287,0.8421135646687696,0.1206149607856541,0.7601670548002339,0.8340489243619909,0.11309111213723355,0.9015847289953267,0.8445614485901258
588,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 11, 'min_samples_split': 48}",0.11053056456673069,0.869548760399472,0.8497485242343631,0.09086507985869124,0.9306323450715709,0.880245007789265,0.11783810502433137,0.8834276581752951,0.841745531019979,0.12035845801812466,0.7621943478420675,0.8326271234141235,0.1130606153657755,0.9019406905089544,0.8443764347140851
589,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 20, 'min_samples_split': 48}",0.10953944340677746,0.8720398822478068,0.8512093831539058,0.09027764937004448,0.9324270171264903,0.8808985979323042,0.11691549484783828,0.8853845233597563,0.8423238696109359,0.1180414062735218,0.7675948379666158,0.8359435332260133,0.11292322313570527,0.9027531505383646,0.8456715318463699
590,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 3, 'min_samples_split': 48}",0.110830279234548,0.8703588406305257,0.8493147915796467,0.0918066562494233,0.9291291319239624,0.8776372562904216,0.11807459604213784,0.8821486432985661,0.8422712933753942,0.1211097544289125,0.7685498941463911,0.8316792561155453,0.1123301102177183,0.9016076931531835,0.8456713605372256
591,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 48, 'min_samples_split': 48}",0.11232676794066779,0.8704173307333519,0.8432305279102452,0.09427865011158465,0.9290615714856812,0.8758978898173062,0.11811405025088013,0.8851872757578286,0.8401682439537328,0.11437260399412799,0.7787589206343337,0.8378336391575013,0.12254176740607839,0.8886615550555641,0.8190223387124405
592,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 49, 'min_samples_split': 48}",0.11228507693458847,0.8706148946803802,0.8433015465238077,0.09433110334161669,0.9290362059954511,0.8776367842137563,0.1181552329108146,0.8851164440076431,0.840378548895899,0.1141761552791926,0.7794287167998338,0.8378336391575013,0.12247781620673,0.8888782119185927,0.8173572138280741
593,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 46, 'min_samples_split': 48}",0.11181076458658418,0.8718935394948595,0.8436819433749804,0.09321382487037713,0.9310947789108379,0.876115281121654,0.11804926998242649,0.8851848674462588,0.8404837013669821,0.11447722519323589,0.7811176722594436,0.8368857718589231,0.1215027383002972,0.8901768393628977,0.8212430191523623
594,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 51, 'min_samples_split': 48}",0.11246072995778453,0.8700960192996088,0.8441598428447539,0.09489229963049792,0.9275729766259847,0.8789411320398433,0.11804535680799973,0.8852164478654616,0.8405888538380653,0.11394208312227985,0.7801022352839933,0.840677241053236,0.12296318027036057,0.8874924174229959,0.8164321444478706
595,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 16, 'min_samples_split': 48}",0.10996319615024153,0.8708770549510901,0.8500709819234945,0.09029888423294156,0.9325974282043781,0.880246187980928,0.11749832133281399,0.8847342761329706,0.8420084121976867,0.11927454341302494,0.7640229367460034,0.8330976798640115,0.1127810356221856,0.9021535787210085,0.8449316476513516
596,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 50, 'min_samples_split': 48}",0.11237464897616847,0.8704439898530985,0.8434658630667913,0.095180178147802,0.9273518084179395,0.8785063494311476,0.11797807067701993,0.8852553463985066,0.8405362776025236,0.11383885072864816,0.7806668408700795,0.8378336391575013,0.12250149635120375,0.8885019637258681,0.8169871860759927
597,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 25, 'min_samples_split': 48}",0.10925837140078418,0.8727034079537944,0.8492830765449694,0.09032758102017188,0.9318873036284344,0.8811162252749847,0.1172740222531472,0.8851064312035664,0.8417981072555204,0.11545197974972735,0.7725986021028981,0.8326181175490538,0.11397990258009028,0.9012212948802789,0.8415998561003185
598,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 44, 'min_samples_split': 48}",0.11173895121594014,0.8702996673476494,0.845547127724358,0.09256581904694061,0.9325806981080611,0.8767674550346977,0.11806582357160197,0.8851830340653113,0.8400630914826499,0.11499503271153318,0.7721162110636665,0.8411545519019261,0.1213291295336848,0.8913187261535587,0.8242034124781581
599,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 48}",0.11066047307334338,0.8687676262751608,0.849698937428968,0.09169809914333484,0.9287988566339533,0.8778546475947694,0.11808186812923152,0.882165684741044,0.8422712933753942,0.12061904222131167,0.762991631083171,0.8326282491472572,0.11224288279949553,0.9011143326424748,0.8460415595984513
600,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 60, 'min_samples_split': 48}",0.1127192351643894,0.8706355139683757,0.8436908346801758,0.09520962900923018,0.9276617657727989,0.8761174054666478,0.1190738027017498,0.8836311736827028,0.8379074658254468,0.11352371274307885,0.7843833677888536,0.8454165775461269,0.12306979620349885,0.8868657486291471,0.815321889882482
601,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 42, 'min_samples_split': 48}",0.11153813805842173,0.8694660483429024,0.8456345141096099,0.09216392406755951,0.9334182432827609,0.875681442666289,0.11819909089544949,0.8854018146387066,0.8394847528916929,0.11579329566153755,0.7662360419928166,0.8402066846033479,0.1199962416091404,0.8928080934573256,0.8271651762771096
602,"{'random_state': 42, 'ccp_alpha': 0.00019142178036846147, 'max_depth': 7, 'min_samples_leaf': 56, 'min_samples_split': 48}",0.11241228444579572,0.8697534876608938,0.8451103438319194,0.09501950272011765,0.9269026920513701,0.8780720388991172,0.11856919983176832,0.8847079136593559,0.8384858044164037,0.11446313108659426,0.7783126231556503,0.845416577546127,0.12159730414470267,0.889090721777199,0.8184669544660295
