Iteracja;estimator__loss;estimator__max_depth;estimator__subsample;estimator__learning_rate;estimator__max_features;estimator__n_estimators;estimator__min_samples_split;Srednia dokladnosc;Czas
239;exponential;9;0.4;0.021262343752724643;0.35000000000000003;3901;4;0.9540760869565217;41.56234679222107
240;exponential;7;0.2;0.004556754060844206;0.9500000000000001;4251;8;0.9478260869565218;50.04335985183716
241;exponential;11;0.30000000000000004;0.004556754060844206;0.15000000000000002;4301;8;0.95625;25.383656120300294
242;exponential;3;0.8;0.46293735614364534;0.9500000000000001;2801;2;0.9491847826086957;25.71483383178711
243;exponential;9;0.6;0.004556754060844206;0.2;4301;4;0.9559782608695653;41.77859363555908
244;exponential;5;0.4;0.021262343752724643;0.35000000000000003;201;4;0.9399456521739131;1.2542806625366212
245;log_loss;1;0.4;0.021262343752724643;0.9000000000000001;1951;32;0.941304347826087;6.068059301376342
246;exponential;5;0.8;0.021262343752724643;0.35000000000000003;3251;128;0.9527173913043478;28.61880965232849
247;log_loss;3;0.5;0.021262343752724643;0.25;501;16;0.9432065217391304;1.6984805583953857
248;log_loss;13;0.5;0.09921256574801249;0.1;2751;32;0.9527173913043478;7.9798894882202145
249;exponential;5;0.4;0.021262343752724643;0.35000000000000003;951;2;0.95;5.877281379699707
250;log_loss;7;0.6;0.002109491677524035;0.2;3351;64;0.9494565217391304;22.536106300354003
251;log_loss;1;0.30000000000000004;0.002109491677524035;0.4;3351;128;0.9214673913043478;5.066900062561035
252;exponential;9;0.6;0.021262343752724643;0.15000000000000002;1601;8;0.9578804347826086;11.983429765701294
253;log_loss;9;0.4;0.0098431332023037;0.15000000000000002;1951;16;0.9546195652173912;10.282694625854493
254;log_loss;11;0.8;0.021262343752724643;0.9500000000000001;3451;4;0.9548913043478262;166.63050742149352
255;exponential;11;0.6;0.09921256574801249;0.9000000000000001;3951;4;0.9529891304347826;36.58794269561768
256;exponential;15;0.8;0.46293735614364534;0.35000000000000003;1251;16;0.9543478260869565;4.37426643371582
257;exponential;7;0.30000000000000004;0.004556754060844206;0.45;3151;16;0.9494565217391304;26.402904176712035
258;exponential;7;0.30000000000000004;0.21431099571326834;0.55;2651;8;0.9480978260869565;15.249311780929565
259;exponential;15;0.8;0.46293735614364534;0.05;3751;32;0.9521739130434781;3.599565887451172
260;log_loss;15;0.7000000000000001;0.002109491677524035;0.7000000000000001;2701;8;0.9489130434782609;142.5017107963562
261;log_loss;11;0.8;0.002109491677524035;0.7000000000000001;2701;64;0.9489130434782609;102.49225630760193
262;exponential;15;0.8;0.46293735614364534;0.8;4801;128;0.9505434782608695;15.763619661331177
263;log_loss;7;0.1;0.002109491677524035;0.8500000000000001;2701;2;0.941304347826087;18.1582679271698
264;exponential;15;0.8;0.46293735614364534;0.5;3451;64;0.9513586956521738;8.71123480796814
265;log_loss;3;0.6;0.021262343752724643;0.25;3451;4;0.9521739130434781;12.364593362808227
266;exponential;11;0.4;0.09921256574801249;0.2;3951;8;0.9559782608695653;12.082616281509399
267;exponential;11;0.8;0.021262343752724643;0.35000000000000003;1601;4;0.9578804347826088;38.41799187660217
268;exponential;3;0.8;0.0009765625;0.6500000000000001;1751;32;0.9206521739130433;18.99508605003357
269;exponential;13;0.7000000000000001;1.0;0.1;1001;64;0.9494565217391304;1.6996817588806152
270;log_loss;7;0.1;0.0009765625;0.8500000000000001;4151;32;0.9396739130434784;25.504556941986085
271;exponential;15;0.8;0.46293735614364534;0.5;2351;64;0.9519021739130433;8.515453195571899
272;exponential;7;1.0;1.0;0.5;751;16;0.9510869565217392;4.591748046875
273;exponential;11;0.7000000000000001;0.0098431332023037;0.15000000000000002;3701;2;0.9584239130434782;49.82498078346252
274;log_loss;3;0.4;0.0009765625;0.45;3201;32;0.9304347826086957;15.943828010559082
275;log_loss;13;0.7000000000000001;0.0009765625;0.45;2151;64;0.9402173913043479;56.439439344406125
276;log_loss;9;1.0;0.045929202883612456;0.4;1201;16;0.9567934782608696;26.239830827713014
277;exponential;9;0.6;0.021262343752724643;0.1;2251;32;0.9554347826086957;11.168023443222046
278;exponential;15;0.9;0.004556754060844206;0.25;4301;8;0.9576086956521739;116.65298409461975
279;log_loss;13;1.0;0.21431099571326834;0.5;1951;32;0.9527173913043478;13.327273225784301
280;log_loss;7;0.8;0.21431099571326834;0.35000000000000003;1951;8;0.9535326086956522;10.457872247695922
281;exponential;13;0.7000000000000001;0.0098431332023037;0.55;1051;16;0.9535326086956522;38.85087952613831
282;log_loss;7;0.6;0.21431099571326834;0.6000000000000001;1951;4;0.9521739130434781;16.480477333068848
283;log_loss;3;0.2;0.21431099571326834;0.8500000000000001;4601;2;0.8288043478260871;22.98224220275879
284;exponential;5;0.5;0.045929202883612456;0.8;951;4;0.9535326086956522;13.86546835899353
285;exponential;9;0.6;0.0009765625;0.4;2801;8;0.9399456521739131;49.62202672958374
286;log_loss;5;0.30000000000000004;0.045929202883612456;0.7500000000000001;1201;8;0.9519021739130435;11.178983354568482
287;log_loss;9;1.0;0.021262343752724643;0.8;3451;4;0.9532608695652174;154.49627017974854
288;log_loss;9;0.9;0.021262343752724643;0.6500000000000001;2701;64;0.951086956521739;89.5803813457489
289;exponential;13;0.4;0.0009765625;0.6500000000000001;3751;32;0.9464673913043479;96.16025958061218
290;exponential;3;1.0;0.021262343752724643;0.15000000000000002;3651;2;0.9546195652173912;10.703638601303101
291;exponential;9;0.5;0.0098431332023037;0.9500000000000001;3701;4;0.9540760869565217;120.0266031742096
292;exponential;13;0.5;0.0009765625;0.25;3751;8;0.9502717391304347;59.14477491378784
293;exponential;15;0.30000000000000004;0.0009765625;0.7000000000000001;3751;128;0.9432065217391303;64.20663280487061
294;log_loss;5;1.0;0.045929202883612456;0.7000000000000001;301;32;0.951086956521739;6.2844713687896725
295;log_loss;5;0.7000000000000001;0.0098431332023037;0.55;4601;8;0.9540760869565219;58.40540699958801
296;exponential;13;0.9;0.045929202883612456;0.2;3901;16;0.9548913043478262;24.26647844314575
297;exponential;3;0.9;0.0009765625;0.25;3951;64;0.9317934782608696;18.31199269294739
298;log_loss;11;0.30000000000000004;0.0098431332023037;0.15000000000000002;1451;32;0.9546195652173914;7.192413663864135
299;exponential;3;0.1;0.0009765625;0.8;4551;16;0.9309782608695653;12.96592059135437
300;log_loss;9;0.30000000000000004;0.09921256574801249;0.45;2751;128;0.9467391304347826;24.853191232681276
301;log_loss;3;0.9;0.0098431332023037;0.35000000000000003;2701;64;0.9464673913043479;15.614264392852784
302;exponential;11;1.0;0.0009765625;0.8500000000000001;3551;16;0.9453804347826088;213.452609872818
303;exponential;13;0.6;0.004556754060844206;0.8500000000000001;3901;32;0.9538043478260869;171.14862170219422
304;log_loss;7;0.4;0.0098431332023037;0.9000000000000001;4601;8;0.951358695652174;85.85257868766784
305;exponential;13;1.0;0.09921256574801249;0.35000000000000003;3951;8;0.9567934782608696;18.225255918502807
306;exponential;7;0.6;0.021262343752724643;0.05;1501;32;0.9546195652173912;3.296505308151245
307;exponential;9;1.0;0.46293735614364534;0.25;1251;16;0.9546195652173914;4.201982545852661
308;exponential;11;0.2;0.0009765625;0.25;3751;64;0.9440217391304347;16.673077154159547
309;exponential;11;0.9;0.0098431332023037;0.6000000000000001;3701;32;0.9535326086956519;134.0980131149292
310;log_loss;5;0.1;0.21431099571326834;0.6000000000000001;1951;128;0.6622282608695651;4.923562812805176
311;exponential;5;0.7000000000000001;0.46293735614364534;0.3;1401;16;0.9494565217391303;6.280513668060303
312;exponential;5;0.7000000000000001;0.0098431332023037;0.4;4251;32;0.9543478260869567;38.415521240234376
313;exponential;15;0.9;0.46293735614364534;0.9500000000000001;2501;8;0.9505434782608695;9.842835330963135
314;exponential;11;0.5;0.021262343752724643;0.55;1601;64;0.9538043478260869;33.04871425628662
315;log_loss;3;0.4;0.045929202883612456;0.7000000000000001;1951;128;0.9472826086956522;12.187402153015137
316;log_loss;1;0.6;0.21431099571326834;0.55;2151;32;0.9426630434782609;5.691101551055908
317;exponential;7;0.30000000000000004;0.46293735614364534;0.7500000000000001;601;64;0.9404891304347827;7.202839756011963
318;log_loss;7;0.7000000000000001;0.0098431332023037;0.1;4101;8;0.9548913043478262;17.51932783126831
319;log_loss;7;0.7000000000000001;0.09921256574801249;0.6500000000000001;951;128;0.9508152173913043;18.95709624290466
320;log_loss;9;0.7000000000000001;0.09921256574801249;0.35000000000000003;2751;32;0.9527173913043478;19.477017307281493
