param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate,param_model__subsample,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
99,5,2,5,0.34986870433203876,0.7566829405259341,0.8251067734397279,0.004150235539921771,0.8229306420163858,0.8226751618012087,0.8323071518120225,0.8206270877236952,0.8269938238453276
23,7,4,1,0.18181310393847527,0.9002931190188974,0.836626445732857,0.005607870175223057,0.8381168160352045,0.830052927694202,0.8436188310929086,0.8301449539672834,0.8411986998746865
149,9,5,8,0.1905170469544828,0.9310079149436206,0.8294815036617973,0.0043553100578266335,0.8309530517691675,0.8229531986262631,0.8358435900204361,0.8267394224330403,0.8309182554600788
48,3,2,4,0.3586840646341443,0.7875202817376703,0.8439626833522681,0.005103773352291564,0.8431554886229473,0.8413313208763139,0.8531744588771228,0.8378245324701697,0.844327615914787
18,8,4,5,0.40066392519511285,0.834077671635896,0.8471277366143981,0.0037525548402561676,0.8498267615648813,0.8433430319887801,0.8512116979099127,0.8419120094566085,0.8493451821518081
110,4,2,1,0.11870589996688069,0.9464488322846591,0.8483946247990509,0.0039711275595087775,0.8509587648921326,0.8440501518013933,0.8523011882857547,0.8430960435415737,0.8515669754744003
89,5,1,6,0.07222910099662841,0.9055543153081089,0.851055160154427,0.004323054843439761,0.853232833798433,0.8451804805841348,0.8575746573629689,0.8476814134340457,0.8516064155925529
77,4,3,5,0.05136393029870867,0.750656406678726,0.8523244992303335,0.004355884788985325,0.856294832921899,0.847407012905496,0.8582227572861592,0.8478643471197456,0.8518335459183672
51,4,3,5,0.05208030918730176,0.7646663234125038,0.8511612908310646,0.0041767655939372065,0.8558101677936389,0.8465684269884808,0.8559755260462325,0.8465485672152626,0.8509037661117078
67,4,4,5,0.050164970793427424,0.7519522131682649,0.8519781191070501,0.004514239701636237,0.8561651416765053,0.8464000384888,0.8579122735076778,0.8477429507595104,0.8516701911027569
139,4,5,5,0.06261518923114688,0.7549993696095718,0.8525546148123719,0.00377811823068588,0.8554026465958283,0.848164481438944,0.8579796848505734,0.8487401351471553,0.852486126029359
48,4,3,1,0.0734633326497878,0.7705419038627037,0.8344577444284595,0.006337304276140185,0.8363265737361812,0.8273240270249556,0.8414342560389095,0.8266633399215566,0.8405405254206946
