Iteracja;estimator__max_depth;estimator__max_features;estimator__max_samples;estimator__min_samples_split;estimator__n_estimators;Srednia dokladnosc;Czas
61;13;sqrt;0.36363636363636365;0.19292929292929295;795;0.7416892672054993;14.956568098068237
62;17;sqrt;0.7636363636363636;0.21717171717171718;1491;0.7479722170009756;30.70507788658142
63;11;log2;0.4;0.13636363636363635;1173;0.7473738621411885;19.775220441818238
64;7;sqrt;0.9454545454545454;0.491919191919192;1807;0.7401918136820529;24.499213409423827
65;18;log2;0.8545454545454545;0.12828282828282828;1879;0.7707222326647155;33.53592219352722
66;17;sqrt;0.9181818181818181;0.22121212121212122;461;0.7473729670703436;7.113183546066284
67;19;sqrt;0.7;0.20101010101010103;713;0.7470771461561182;10.916091346740723
68;19;sqrt;0.7545454545454545;0.13636363636363635;293;0.7659322610384612;5.41432900428772
69;12;log2;0.3090909090909091;0.3868686868686869;406;0.5067345130367069;4.639623785018921
70;14;log2;0.7363636363636363;0.1202020202020202;1241;0.7707231277355604;22.40762801170349
71;1;sqrt;0.22727272727272727;0.398989898989899;419;0.5067345130367069;5.560126495361328
72;8;sqrt;0.14545454545454545;0.407070707070707;1199;0.5067345130367069;13.134866523742676
73;12;log2;0.24545454545454545;0.4232323232323232;868;0.5067345130367069;8.314846467971801
74;13;sqrt;0.49090909090909085;0.15656565656565657;368;0.7461758098153469;4.173220300674439
75;9;sqrt;0.2090909090909091;0.2737373737373737;632;0.5067345130367069;4.407801532745362
76;8;log2;0.17272727272727273;0.18484848484848487;1679;0.5067345130367069;11.525068044662476
77;5;sqrt;0.32727272727272727;0.3383838383838384;506;0.5067345130367069;3.80490927696228
78;15;sqrt;0.8636363636363635;0.48383838383838385;1163;0.7392949526955059;14.00166630744934
79;11;log2;0.9363636363636363;0.297979797979798;358;0.7437846280533105;6.000985431671142
80;17;sqrt;0.8454545454545453;0.41515151515151516;1702;0.7398937550907155;18.456636238098145
81;15;log2;0.1090909090909091;0.42727272727272725;1642;0.5067345130367069;13.361355447769165
82;18;sqrt;0.6909090909090908;0.4313131313131313;1658;0.7395939063576881;15.395892095565795
83;17;sqrt;0.9090909090909091;0.35050505050505054;199;0.7395925637514209;3.2239862442016602
84;9;log2;0.6272727272727272;0.3424242424242424;361;0.7416892672054993;3.8868412017822265
85;1;sqrt;0.7363636363636363;0.3909090909090909;393;0.7413898660078945;6.059795808792114
86;18;log2;0.38181818181818183;0.3222222222222222;866;0.7363022833257252;10.02327561378479
