Iteracja;estimator__loss;estimator__n_estimators;estimator__max_depth;estimator__subsample;estimator__max_features;estimator__learning_rate;estimator__min_samples_split;Srednia dokladnosc;Czas
92;exponential;1101;15;0.5;0.2;0.004556754060844206;16;0.9513586956521738;47.220628595352174
93;log_loss;3551;9;0.8;0.9000000000000001;0.002109491677524035;32;0.9478260869565217;444.4328245639801
94;log_loss;3001;13;0.1;0.8500000000000001;0.09921256574801249;4;0.6709239130434783;95.62617139816284
95;exponential;3701;11;0.7000000000000001;0.6000000000000001;0.0098431332023037;32;0.9548913043478262;337.9075300693512
96;log_loss;4651;13;0.30000000000000004;0.7500000000000001;0.0098431332023037;128;0.9491847826086957;261.1151104927063
97;exponential;1501;1;0.7000000000000001;0.05;0.021262343752724643;128;0.9394021739130436;4.549146556854248
98;log_loss;2051;5;0.7000000000000001;0.05;0.09921256574801249;8;0.9519021739130433;14.746598196029662
99;log_loss;4201;3;0.4;1.0;0.09921256574801249;8;0.9480978260869565;117.61211094856262
100;log_loss;4651;15;0.1;0.6000000000000001;0.0098431332023037;32;0.9366847826086957;122.20401000976562
101;log_loss;4701;13;0.2;0.1;0.0009765625;64;0.9464673913043479;44.49606862068176
102;exponential;3801;15;0.1;0.55;0.002109491677524035;4;0.9375;112.8289975643158
103;log_loss;2251;9;0.6;0.7500000000000001;0.09921256574801249;8;0.9543478260869567;109.07694902420045
104;log_loss;1451;11;0.8;1.0;1.0;16;0.9328804347826086;121.39154696464539
105;log_loss;2651;11;0.6;0.8500000000000001;0.46293735614364534;64;0.4459239130434782;264.79293756484986
106;log_loss;551;7;0.30000000000000004;0.8500000000000001;0.0009765625;128;0.9095108695652174;20.91407427787781
107;log_loss;3851;3;0.1;0.2;0.46293735614364534;32;0.7165760869565218;19.355334854125978
108;exponential;451;15;0.1;0.8;0.004556754060844206;8;0.9350543478260869;15.60770845413208
109;exponential;4851;9;0.2;0.8;0.045929202883612456;16;0.9491847826086955;179.76963529586791
110;exponential;4151;9;0.5;0.35000000000000003;0.045929202883612456;4;0.9535326086956522;117.15473136901855
111;log_loss;1801;5;0.8;0.15000000000000002;0.0009765625;32;0.9358695652173914;27.278926515579222
112;log_loss;3251;9;1.0;0.9000000000000001;0.46293735614364534;8;0.951358695652174;228.7016483783722
113;exponential;851;15;0.1;0.3;0.004556754060844206;2;0.9375;23.55179805755615
114;log_loss;1251;7;0.8;0.6500000000000001;0.004556754060844206;16;0.9472826086956522;101.68441362380982
115;log_loss;451;13;0.2;0.2;0.0009765625;2;0.923913043478261;16.587065649032592
116;log_loss;3901;1;0.30000000000000004;0.05;0.46293735614364534;8;0.7576086956521739;12.493000650405884
117;log_loss;4801;5;0.4;0.55;0.0098431332023037;64;0.9527173913043478;129.8556540489197
118;exponential;451;1;0.1;0.55;1.0;64;0.8921195652173914;2.2084550857543945
119;log_loss;2951;5;0.1;0.5;0.045929202883612456;64;0.9440217391304347;29.791916131973267
120;exponential;2901;11;0.8;0.8500000000000001;0.21431099571326834;16;0.9540760869565217;97.23398156166077
121;log_loss;4801;7;0.30000000000000004;0.5;0.004556754060844206;16;0.9505434782608695;129.68093094825744
122;log_loss;2851;3;0.5;0.6500000000000001;0.045929202883612456;8;0.9502717391304347;61.48700551986694
123;log_loss;1051;11;0.8;0.8500000000000001;0.0009765625;128;0.9274456521739131;134.41592111587525
124;exponential;451;3;0.30000000000000004;0.05;1.0;4;0.9364130434782609;1.7296794414520265
125;log_loss;151;7;0.1;0.35000000000000003;0.46293735614364534;64;0.6730978260869566;1.430714750289917
126;exponential;1451;15;0.7000000000000001;0.4;0.004556754060844206;16;0.9519021739130435;135.94557266235353
127;log_loss;51;13;1.0;0.7500000000000001;0.09921256574801249;4;0.941304347826087;10.391213750839233
128;exponential;3551;5;0.30000000000000004;0.55;0.0009765625;64;0.9399456521739131;79.42615585327148
129;exponential;4851;7;1.0;0.5;0.09921256574801249;64;0.9540760869565219;213.0978256225586
130;log_loss;2301;3;0.7000000000000001;0.7000000000000001;0.002109491677524035;2;0.9394021739130436;67.98189768791198
131;exponential;2001;3;0.9;0.55;0.46293735614364534;8;0.9470108695652174;51.506470108032225
132;exponential;4051;5;0.30000000000000004;0.9500000000000001;0.002109491677524035;32;0.9429347826086957;147.42998809814452
133;exponential;2601;3;0.1;0.05;0.002109491677524035;2;0.9279891304347826;8.59000849723816
134;log_loss;1851;1;0.4;0.4;0.045929202883612456;128;0.9478260869565217;11.006958436965942
135;log_loss;4701;1;0.30000000000000004;0.05;1.0;128;0.5921195652173914;15.448871946334839
136;log_loss;3501;13;0.8;0.5;0.46293735614364534;4;0.8293478260869565;142.18895120620726
137;log_loss;3601;5;0.7000000000000001;0.8;0.002109491677524035;32;0.9459239130434783;201.43316984176636
138;exponential;3301;3;0.7000000000000001;0.15000000000000002;0.002109491677524035;16;0.9451086956521738;28.55137038230896
139;log_loss;951;13;0.8;0.4;0.004556754060844206;32;0.9494565217391304;80.54719824790955
140;exponential;1501;13;0.5;0.5;0.09921256574801249;4;0.9538043478260871;66.78332962989808
141;exponential;3301;7;0.7000000000000001;0.5;0.0098431332023037;128;0.9548913043478262;152.6384080886841
142;log_loss;1051;9;0.30000000000000004;0.9000000000000001;0.46293735614364534;64;0.7483695652173914;58.0955689907074
143;exponential;4351;9;0.6;0.55;0.002109491677524035;4;0.9510869565217392;282.9213659763336
144;exponential;4301;7;0.2;0.3;0.0009765625;64;0.94375;54.5012131690979
145;log_loss;1251;15;0.5;0.6500000000000001;0.0098431332023037;8;0.9521739130434783;132.5766198158264
146;log_loss;4701;15;0.5;0.2;0.21431099571326834;64;0.9516304347826088;34.76853342056275
147;log_loss;4401;3;0.5;0.6000000000000001;0.045929202883612456;4;0.95;84.70580334663391
148;exponential;551;11;0.6;0.6500000000000001;0.0098431332023037;8;0.9494565217391303;50.53764038085937
149;exponential;851;15;0.4;0.8500000000000001;0.21431099571326834;32;0.9483695652173914;75.76836891174317
150;log_loss;2801;3;0.5;0.25;0.002109491677524035;64;0.9413043478260871;27.51932210922241
151;exponential;1901;5;0.30000000000000004;0.9500000000000001;0.004556754060844206;4;0.9434782608695652;62.768773317337036
152;log_loss;451;15;0.4;0.8500000000000001;0.004556754060844206;8;0.9418478260869565;49.49970922470093
153;exponential;2951;11;0.6;0.35000000000000003;0.09921256574801249;64;0.9540760869565219;67.21338186264038
154;log_loss;101;1;0.5;0.6000000000000001;0.09921256574801249;16;0.9345108695652173;0.8782272815704346
155;log_loss;1051;13;0.4;0.05;0.002109491677524035;64;0.9410326086956522;9.27943811416626
156;exponential;4751;3;0.1;0.4;0.46293735614364534;128;0.9326086956521739;24.5383141040802
157;exponential;2601;5;0.2;0.4;1.0;4;0.944836956521739;17.18953275680542
158;exponential;4401;11;0.9;0.55;0.021262343752724643;64;0.95625;389.7269539833069
159;exponential;4851;1;0.8;0.9000000000000001;0.09921256574801249;8;0.9410326086956522;62.85598893165589
160;exponential;901;1;0.30000000000000004;0.6500000000000001;0.004556754060844206;32;0.9114130434782608;5.734206438064575
161;exponential;151;9;0.8;0.05;0.0098431332023037;8;0.93125;2.6332327365875243
162;exponential;1301;5;0.2;0.8;0.045929202883612456;8;0.9508152173913043;26.683649349212647
163;exponential;1301;3;0.8;0.8500000000000001;0.21431099571326834;4;0.9519021739130433;43.72016196250915
164;log_loss;2001;15;1.0;0.25;0.09921256574801249;64;0.9546195652173914;74.67166113853455
165;log_loss;451;5;0.7000000000000001;0.25;0.46293735614364534;4;0.8008152173913043;8.529766321182251
